"","kmodes"
"1",3
"2",3
"3",3
"4",2
"5",2
"6",3
"7",3
"8",3
"9",2
"10",3
"11",3
"12",4
"13",3
"14",3
"15",5
"16",2
"17",3
"18",2
"19",5
"20",2
"21",1
"22",3
"23",5
"24",3
"25",3
"26",2
"27",2
"28",4
"29",2
"30",3
"31",4
"32",2
"33",2
"34",1
"35",3
"36",1
"37",5
"38",3
"39",5
"40",1
"41",5
"42",3
"43",3
"44",3
"45",3
"46",5
"47",3
"48",5
"49",3
"50",3
"51",5
"52",5
"53",1
"54",3
"55",4
"56",3
"57",3
"58",3
"59",3
"60",5
"61",3
"62",1
"63",1
"64",3
"65",3
"66",3
"67",3
"68",3
"69",3
"70",5
"71",3
"72",5
"73",3
"74",3
"75",3
"76",3
"77",3
"78",1
"79",3
"80",1
"81",5
"82",3
"83",1
"84",5
"85",1
"86",5
"87",3
"88",4
"89",1
"90",3
"91",1
"92",3
"93",3
"94",3
"95",3
"96",3
"97",1
"98",5
"99",3
"100",3
"101",3
"102",5
"103",5
"104",1
"105",5
"106",1
"107",5
"108",5
"109",1
"110",5
"111",3
"112",3
"113",3
"114",3
"115",3
"116",3
"117",3
"118",3
"119",1
"120",3
"121",3
"122",5
"123",3
"124",1
"125",3
"126",3
"127",3
"128",3
"129",3
"130",3
"131",3
"132",4
"133",3
"134",3
"135",3
"136",3
"137",5
"138",4
"139",3
"140",3
"141",4
"142",3
"143",4
"144",3
"145",3
"146",3
"147",5
"148",3
"149",3
"150",1
"151",3
"152",3
"153",1
"154",3
"155",3
"156",3
"157",4
"158",1
"159",4
"160",3
"161",4
"162",2
"163",3
"164",3
"165",1
"166",5
"167",5
"168",1
"169",3
"170",4
"171",2
"172",2
"173",3
"174",3
"175",4
"176",1
"177",3
"178",5
"179",3
"180",4
"181",3
"182",1
"183",1
"184",4
"185",1
"186",1
"187",5
"188",5
"189",3
"190",5
"191",1
"192",3
"193",2
"194",5
"195",5
"196",5
"197",4
"198",3
"199",4
"200",5
"201",3
"202",3
"203",3
"204",3
"205",4
"206",1
"207",4
"208",1
"209",3
"210",5
"211",1
"212",3
"213",3
"214",4
"215",3
"216",3
"217",3
"218",5
"219",1
"220",3
"221",4
"222",3
"223",3
"224",3
"225",1
"226",4
"227",4
"228",1
"229",4
"230",1
"231",5
"232",4
"233",4
"234",4
"235",4
"236",4
"237",1
"238",4
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",3
"246",4
"247",1
"248",1
"249",1
"250",3
"251",3
"252",4
"253",3
"254",1
"255",4
"256",4
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",3
"264",3
"265",3
"266",3
"267",4
"268",3
"269",3
"270",2
"271",2
"272",2
"273",3
"274",1
"275",3
"276",4
"277",4
"278",3
"279",3
"280",3
"281",4
"282",4
"283",5
"284",1
"285",3
"286",3
"287",3
"288",4
"289",3
"290",2
"291",4
"292",3
"293",4
"294",4
"295",3
"296",3
"297",3
"298",4
"299",3
"300",3
"301",2
"302",1
"303",4
"304",3
"305",4
"306",3
"307",3
"308",3
"309",5
"310",5
"311",4
"312",1
"313",3
"314",3
"315",1
"316",3
"317",3
"318",3
"319",5
"320",1
"321",1
"322",5
"323",5
"324",1
"325",1
"326",5
"327",3
"328",4
"329",1
"330",2
"331",5
"332",1
"333",5
"334",5
"335",1
"336",4
"337",5
"338",5
"339",5
"340",1
"341",1
"342",1
"343",3
"344",4
"345",3
"346",5
"347",5
"348",1
"349",3
"350",5
"351",1
"352",1
"353",4
"354",4
"355",1
"356",3
"357",4
"358",4
"359",5
"360",1
"361",1
"362",4
"363",1
"364",5
"365",1
"366",3
"367",5
"368",5
"369",5
"370",5
"371",4
"372",3
"373",3
"374",3
"375",3
"376",3
"377",2
"378",3
"379",4
"380",3
"381",3
"382",3
"383",3
"384",3
"385",3
"386",3
"387",3
"388",4
"389",2
"390",2
"391",2
"392",4
"393",3
"394",3
"395",1
"396",3
"397",3
"398",5
"399",5
"400",5
"401",5
"402",4
"403",3
"404",1
"405",3
"406",5
"407",3
"408",5
"409",3
"410",5
"411",1
"412",1
"413",5
"414",5
"415",1
"416",1
"417",5
"418",4
"419",1
"420",5
"421",5
"422",1
"423",1
"424",1
"425",1
"426",5
"427",5
"428",5
"429",5
"430",5
"431",5
"432",1
"433",1
"434",1
"435",1
"436",5
"437",5
"438",5
"439",5
"440",1
"441",1
"442",5
"443",1
"444",1
"445",5
"446",4
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",1
"454",1
"455",5
"456",1
"457",5
"458",1
"459",5
"460",1
"461",1
"462",1
"463",1
"464",1
"465",5
"466",3
"467",3
"468",3
"469",3
"470",5
"471",3
"472",3
"473",4
"474",3
"475",4
"476",1
"477",4
"478",3
"479",3
"480",3
"481",1
"482",1
"483",1
"484",3
"485",4
"486",1
"487",1
"488",5
"489",4
"490",3
"491",4
