"","kmodes"
"1",3
"2",2
"3",2
"4",3
"5",2
"6",2
"7",4
"8",2
"9",2
"10",3
"11",1
"12",4
"13",2
"14",2
"15",2
"16",4
"17",1
"18",2
"19",2
"20",2
"21",1
"22",2
"23",1
"24",2
"25",1
"26",2
"27",2
"28",4
"29",2
"30",3
"31",4
"32",3
"33",3
"34",4
"35",2
"36",1
"37",2
"38",2
"39",1
"40",1
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",1
"53",1
"54",1
"55",4
"56",2
"57",2
"58",2
"59",2
"60",2
"61",1
"62",2
"63",4
"64",1
"65",1
"66",2
"67",1
"68",2
"69",2
"70",2
"71",2
"72",1
"73",2
"74",1
"75",2
"76",2
"77",2
"78",4
"79",1
"80",1
"81",2
"82",2
"83",1
"84",2
"85",1
"86",2
"87",3
"88",4
"89",1
"90",2
"91",4
"92",2
"93",2
"94",4
"95",2
"96",2
"97",1
"98",1
"99",1
"100",3
"101",2
"102",2
"103",2
"104",1
"105",2
"106",4
"107",2
"108",2
"109",1
"110",2
"111",2
"112",2
"113",3
"114",2
"115",2
"116",2
"117",2
"118",4
"119",1
"120",2
"121",2
"122",2
"123",2
"124",1
"125",2
"126",1
"127",2
"128",2
"129",2
"130",2
"131",1
"132",4
"133",2
"134",2
"135",2
"136",2
"137",1
"138",4
"139",2
"140",4
"141",1
"142",2
"143",4
"144",1
"145",2
"146",2
"147",2
"148",2
"149",1
"150",1
"151",2
"152",1
"153",1
"154",3
"155",2
"156",2
"157",4
"158",1
"159",4
"160",3
"161",1
"162",3
"163",1
"164",2
"165",4
"166",2
"167",2
"168",4
"169",2
"170",4
"171",3
"172",3
"173",3
"174",1
"175",1
"176",1
"177",1
"178",1
"179",2
"180",4
"181",2
"182",1
"183",1
"184",1
"185",1
"186",1
"187",2
"188",2
"189",2
"190",2
"191",2
"192",3
"193",2
"194",2
"195",2
"196",2
"197",4
"198",2
"199",4
"200",1
"201",2
"202",2
"203",2
"204",2
"205",4
"206",1
"207",1
"208",1
"209",1
"210",2
"211",1
"212",1
"213",2
"214",1
"215",2
"216",2
"217",2
"218",2
"219",1
"220",2
"221",1
"222",2
"223",2
"224",2
"225",2
"226",4
"227",4
"228",1
"229",4
"230",4
"231",2
"232",4
"233",1
"234",4
"235",4
"236",1
"237",2
"238",4
"239",1
"240",1
"241",1
"242",1
"243",2
"244",1
"245",2
"246",4
"247",1
"248",1
"249",1
"250",2
"251",2
"252",1
"253",2
"254",1
"255",1
"256",1
"257",2
"258",1
"259",2
"260",2
"261",1
"262",1
"263",2
"264",2
"265",2
"266",1
"267",4
"268",2
"269",1
"270",3
"271",3
"272",3
"273",1
"274",2
"275",2
"276",1
"277",1
"278",2
"279",2
"280",4
"281",4
"282",1
"283",2
"284",1
"285",2
"286",2
"287",4
"288",4
"289",2
"290",2
"291",1
"292",2
"293",3
"294",4
"295",1
"296",2
"297",2
"298",1
"299",2
"300",2
"301",2
"302",1
"303",1
"304",2
"305",1
"306",2
"307",2
"308",2
"309",1
"310",2
"311",1
"312",1
"313",2
"314",2
"315",1
"316",2
"317",2
"318",2
"319",2
"320",1
"321",1
"322",2
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",2
