"","kmodes"
"1",2
"2",2
"3",2
"4",2
"5",1
"6",2
"7",2
"8",2
"9",2
"10",2
"11",1
"12",5
"13",1
"14",1
"15",5
"16",1
"17",1
"18",2
"19",1
"20",2
"21",5
"22",2
"23",2
"24",2
"25",1
"26",2
"27",1
"28",5
"29",5
"30",1
"31",5
"32",1
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",1
"41",2
"42",2
"43",2
"44",1
"45",2
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",2
"53",5
"54",2
"55",2
"56",2
"57",2
"58",1
"59",2
"60",2
"61",2
"62",2
"63",1
"64",1
"65",1
"66",2
"67",2
"68",2
"69",2
"70",2
"71",5
"72",2
"73",2
"74",2
"75",5
"76",5
"77",2
"78",2
"79",2
"80",2
"81",2
"82",5
"83",5
"84",2
"85",2
"86",2
"87",2
"88",2
"89",5
"90",2
"91",5
"92",2
"93",2
"94",2
"95",2
"96",2
"97",5
"98",1
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",1
"111",2
"112",2
"113",2
"114",5
"115",1
"116",1
"117",2
"118",2
"119",2
"120",2
"121",5
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",1
"129",1
"130",2
"131",1
"132",2
"133",1
"134",1
"135",5
"136",2
"137",2
"138",2
"139",2
"140",2
"141",2
"142",2
"143",2
"144",1
"145",2
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",2
"157",1
"158",2
"159",1
"160",2
"161",1
"162",2
"163",2
"164",5
"165",5
"166",1
"167",2
"168",1
"169",1
"170",2
"171",2
"172",2
"173",2
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",1
"186",2
"187",2
"188",1
"189",2
"190",1
"191",2
"192",2
"193",2
"194",2
"195",2
"196",5
"197",1
"198",1
"199",5
"200",5
"201",5
"202",3
"203",3
"204",2
"205",5
"206",1
"207",5
"208",4
"209",2
"210",2
"211",3
"212",5
"213",5
"214",2
