"","kmodes"
"1",3
"2",5
"3",3
"4",5
"5",5
"6",5
"7",3
"8",5
"9",3
"10",5
"11",3
"12",3
"13",3
"14",3
"15",3
"16",3
"17",5
"18",5
"19",3
"20",5
"21",5
"22",5
"23",5
"24",5
"25",5
"26",5
"27",2
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",5
"37",1
"38",5
"39",2
"40",2
"41",5
"42",5
"43",5
"44",5
"45",5
"46",3
"47",1
"48",5
"49",5
"50",1
"51",5
"52",3
"53",3
"54",5
"55",5
"56",5
"57",1
"58",3
"59",5
"60",3
"61",3
"62",5
"63",5
"64",3
"65",5
"66",5
"67",3
"68",3
"69",3
"70",5
"71",3
"72",3
"73",3
"74",3
"75",3
"76",5
"77",5
"78",5
"79",3
"80",3
"81",3
"82",3
"83",3
"84",5
"85",3
"86",3
"87",3
"88",5
"89",3
"90",5
"91",3
"92",3
"93",3
"94",5
"95",5
"96",5
"97",3
"98",1
"99",5
"100",3
"101",5
"102",5
"103",3
"104",5
"105",5
"106",5
"107",3
"108",3
"109",5
"110",5
"111",3
"112",3
"113",1
"114",3
"115",5
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",3
"125",3
"126",3
"127",3
"128",5
"129",3
"130",3
"131",3
"132",3
"133",5
"134",3
"135",5
"136",5
"137",3
"138",5
"139",5
"140",3
"141",3
"142",3
"143",3
"144",5
"145",3
"146",3
"147",3
"148",3
"149",3
"150",3
"151",5
"152",5
"153",5
"154",3
"155",3
"156",3
"157",3
"158",5
"159",5
"160",2
"161",3
"162",5
"163",2
"164",5
"165",2
"166",2
"167",2
"168",2
"169",1
"170",2
"171",2
"172",1
"173",2
"174",3
"175",3
"176",4
"177",4
"178",4
"179",4
"180",4
"181",4
"182",4
"183",4
"184",4
"185",4
"186",4
"187",4
"188",4
"189",4
"190",3
"191",3
"192",3
"193",4
"194",5
"195",5
"196",5
"197",3
"198",5
"199",3
"200",2
"201",3
"202",5
"203",3
"204",5
"205",5
"206",2
"207",5
"208",2
"209",5
"210",5
"211",3
"212",4
"213",4
"214",3
"215",5
"216",3
"217",2
"218",4
"219",4
"220",4
"221",4
"222",4
"223",4
"224",4
"225",4
"226",3
"227",3
"228",5
"229",5
"230",4
"231",4
"232",4
"233",2
"234",3
"235",4
"236",2
"237",2
"238",2
"239",1
"240",2
"241",4
"242",4
"243",1
"244",4
"245",3
"246",4
"247",4
"248",4
"249",4
"250",4
"251",5
"252",5
"253",4
"254",5
"255",5
"256",3
"257",5
"258",5
"259",4
"260",5
"261",5
"262",5
"263",5
"264",5
"265",5
"266",5
"267",2
"268",4
"269",1
"270",5
"271",5
"272",1
"273",5
"274",1
"275",1
"276",5
"277",5
"278",1
"279",5
"280",5
"281",1
"282",5
"283",5
"284",2
"285",2
"286",1
"287",2
"288",2
"289",2
"290",2
"291",2
"292",2
"293",2
"294",2
"295",2
"296",1
"297",2
"298",1
"299",1
"300",1
"301",1
"302",2
"303",2
"304",1
"305",5
"306",1
"307",2
"308",2
"309",2
"310",1
"311",2
"312",2
"313",5
"314",2
"315",2
"316",2
"317",1
"318",2
"319",2
"320",1
"321",2
"322",2
"323",5
"324",2
"325",4
"326",5
"327",5
"328",4
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",5
"338",4
"339",4
"340",3
"341",4
"342",4
"343",5
"344",5
"345",4
"346",5
"347",5
"348",5
"349",5
"350",3
"351",5
"352",3
"353",3
"354",5
"355",5
"356",5
"357",5
"358",3
"359",5
"360",3
"361",5
"362",5
"363",5
"364",5
"365",3
"366",5
"367",5
"368",5
"369",5
"370",2
"371",5
"372",5
"373",2
"374",2
"375",2
"376",1
"377",1
"378",2
"379",1
"380",2
"381",2
"382",2
"383",2
"384",2
"385",2
"386",2
"387",2
"388",2
"389",2
"390",2
"391",5
"392",5
"393",5
"394",5
"395",5
"396",2
"397",3
"398",5
"399",3
"400",5
"401",5
"402",1
"403",3
"404",3
"405",5
"406",5
"407",5
"408",5
"409",5
"410",2
"411",5
"412",2
"413",5
"414",5
"415",2
"416",2
"417",2
"418",2
"419",3
"420",5
"421",5
"422",2
"423",2
"424",5
"425",1
"426",2
"427",2
"428",2
"429",2
"430",2
"431",2
"432",1
"433",1
"434",1
"435",2
"436",2
"437",1
"438",2
"439",2
"440",2
"441",1
"442",1
"443",1
"444",1
"445",1
"446",2
"447",2
"448",2
"449",2
"450",2
"451",2
"452",2
"453",2
"454",2
"455",2
"456",2
"457",1
"458",2
"459",2
"460",2
"461",1
"462",1
"463",1
"464",2
"465",2
"466",2
"467",2
"468",2
"469",2
"470",2
"471",4
"472",5
"473",2
"474",2
"475",2
"476",2
"477",2
"478",2
"479",2
"480",2
"481",5
"482",4
"483",5
"484",2
"485",5
"486",4
"487",4
"488",4
"489",4
"490",4
"491",4
"492",4
"493",3
"494",4
"495",4
"496",4
"497",4
"498",4
"499",4
"500",4
"501",4
"502",4
"503",4
"504",4
"505",4
"506",4
"507",4
"508",4
"509",4
"510",4
