"","kmodes"
"1",1
"2",1
"3",2
"4",3
"5",3
"6",3
"7",1
"8",3
"9",1
"10",3
"11",1
"12",3
"13",3
"14",1
"15",1
"16",3
"17",3
"18",3
"19",1
"20",3
"21",3
"22",3
"23",3
"24",3
"25",2
"26",3
"27",3
"28",3
"29",3
"30",1
"31",3
"32",1
"33",3
"34",1
"35",1
"36",3
"37",1
"38",3
"39",3
"40",1
"41",1
"42",3
"43",3
"44",1
"45",3
"46",1
"47",1
"48",1
"49",3
"50",1
"51",1
"52",1
"53",1
"54",3
"55",3
"56",3
"57",2
"58",1
"59",3
"60",1
"61",1
"62",3
"63",3
"64",1
"65",3
"66",1
"67",2
"68",3
"69",3
"70",3
"71",3
"72",3
"73",3
"74",1
"75",3
"76",3
"77",3
"78",3
"79",2
"80",3
"81",3
"82",3
"83",1
"84",3
"85",3
"86",1
"87",1
"88",3
"89",3
"90",3
"91",3
"92",3
"93",1
"94",3
"95",3
"96",3
"97",1
"98",1
"99",3
"100",2
"101",3
"102",3
"103",1
"104",3
"105",3
"106",3
"107",3
"108",1
"109",3
"110",1
"111",1
"112",2
"113",1
"114",1
"115",3
"116",3
"117",3
"118",3
"119",3
"120",1
"121",3
"122",1
"123",3
"124",1
"125",3
"126",3
"127",1
"128",3
"129",1
"130",1
"131",1
"132",1
"133",3
"134",1
"135",3
"136",3
"137",3
"138",3
"139",3
"140",3
"141",3
"142",1
"143",3
"144",3
"145",3
"146",3
"147",3
"148",2
"149",3
"150",1
"151",3
"152",3
"153",3
"154",1
"155",3
"156",1
"157",1
"158",3
"159",3
"160",3
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",1
"168",3
"169",1
"170",3
"171",2
"172",1
"173",3
"174",1
"175",3
"176",3
"177",3
"178",3
"179",3
"180",3
"181",3
"182",3
"183",3
"184",3
"185",3
"186",3
"187",3
"188",3
"189",3
"190",2
"191",3
"192",3
"193",3
"194",3
"195",3
"196",3
"197",3
"198",3
"199",1
"200",3
"201",1
"202",3
"203",3
"204",3
"205",3
"206",3
"207",3
"208",3
"209",3
"210",3
"211",3
"212",3
"213",3
"214",3
"215",3
"216",1
"217",3
"218",3
"219",3
"220",3
"221",3
"222",3
"223",3
"224",3
"225",3
"226",1
"227",1
"228",1
"229",3
"230",3
"231",3
"232",3
"233",1
"234",3
"235",3
"236",3
"237",2
"238",3
"239",1
"240",3
"241",3
"242",3
"243",1
"244",3
"245",3
"246",3
"247",3
"248",3
"249",3
"250",3
"251",3
"252",1
"253",3
"254",3
"255",3
"256",1
"257",3
"258",3
"259",3
"260",1
"261",1
"262",3
"263",1
"264",3
"265",1
"266",2
"267",1
"268",3
"269",1
"270",3
"271",3
"272",1
"273",3
"274",1
"275",1
"276",1
"277",3
"278",1
"279",1
"280",1
"281",1
"282",2
"283",3
"284",1
"285",3
"286",1
"287",1
"288",3
"289",2
"290",3
"291",3
"292",2
"293",2
"294",3
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",3
"303",3
"304",1
"305",3
"306",1
"307",3
"308",3
"309",2
"310",1
"311",1
"312",2
"313",3
"314",1
"315",1
"316",3
"317",2
"318",3
"319",3
"320",2
"321",3
"322",1
"323",3
"324",2
"325",3
"326",1
"327",1
"328",3
"329",3
"330",3
"331",3
"332",3
"333",3
"334",3
"335",3
"336",3
"337",3
"338",3
"339",3
"340",1
"341",3
"342",3
"343",1
"344",1
"345",3
"346",3
"347",3
"348",1
"349",3
"350",1
"351",1
"352",2
"353",2
"354",3
"355",3
"356",3
"357",3
"358",1
"359",3
"360",1
"361",3
"362",3
"363",3
"364",3
"365",3
"366",3
"367",1
"368",3
"369",2
"370",3
"371",1
"372",1
"373",3
"374",3
"375",3
"376",2
"377",1
"378",2
"379",1
"380",3
"381",1
"382",3
"383",3
"384",1
"385",3
"386",1
"387",3
"388",1
"389",3
"390",3
"391",1
"392",3
"393",3
"394",3
"395",1
"396",3
"397",1
"398",3
"399",1
"400",3
"401",3
"402",1
"403",1
"404",1
"405",3
"406",3
"407",3
"408",3
"409",3
"410",1
"411",3
"412",3
"413",2
"414",3
"415",3
"416",3
"417",3
"418",2
"419",1
"420",3
"421",3
"422",3
"423",2
"424",3
"425",1
"426",3
"427",3
"428",3
"429",3
"430",1
"431",3
"432",1
"433",1
"434",1
"435",1
"436",1
"437",1
"438",1
"439",3
"440",1
"441",1
"442",1
"443",2
"444",1
"445",1
"446",3
"447",3
"448",3
"449",2
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",1
"457",1
"458",3
"459",3
"460",3
"461",1
"462",1
"463",1
"464",3
"465",3
"466",1
"467",3
"468",1
"469",3
"470",1
"471",3
"472",1
"473",2
"474",2
"475",1
"476",2
"477",1
"478",1
"479",1
"480",1
"481",1
