"","kmodes"
"1",1
"2",3
"3",4
"4",4
"5",4
"6",4
"7",1
"8",2
"9",1
"10",2
"11",1
"12",1
"13",2
"14",1
"15",1
"16",4
"17",3
"18",2
"19",1
"20",2
"21",2
"22",4
"23",4
"24",4
"25",4
"26",3
"27",4
"28",4
"29",4
"30",1
"31",4
"32",1
"33",4
"34",1
"35",1
"36",4
"37",1
"38",3
"39",2
"40",1
"41",1
"42",4
"43",4
"44",1
"45",2
"46",1
"47",1
"48",1
"49",2
"50",1
"51",1
"52",1
"53",1
"54",4
"55",4
"56",2
"57",4
"58",1
"59",2
"60",1
"61",1
"62",4
"63",2
"64",1
"65",2
"66",1
"67",4
"68",4
"69",4
"70",4
"71",2
"72",2
"73",2
"74",1
"75",2
"76",2
"77",2
"78",4
"79",1
"80",2
"81",4
"82",2
"83",1
"84",4
"85",4
"86",1
"87",1
"88",2
"89",2
"90",2
"91",4
"92",1
"93",1
"94",4
"95",1
"96",4
"97",1
"98",1
"99",2
"100",4
"101",4
"102",4
"103",1
"104",2
"105",2
"106",4
"107",4
"108",1
"109",2
"110",1
"111",1
"112",2
"113",1
"114",1
"115",2
"116",4
"117",4
"118",2
"119",1
"120",1
"121",2
"122",1
"123",2
"124",1
"125",2
"126",2
"127",1
"128",2
"129",1
"130",1
"131",1
"132",1
"133",4
"134",1
"135",4
"136",2
"137",1
"138",2
"139",2
"140",2
"141",2
"142",1
"143",4
"144",2
"145",2
"146",2
"147",2
"148",4
"149",1
"150",1
"151",4
"152",4
"153",4
"154",1
"155",4
"156",1
"157",1
"158",2
"159",4
"160",1
"161",1
"162",2
"163",1
"164",4
"165",1
"166",2
"167",1
"168",2
"169",1
"170",2
"171",1
"172",1
"173",4
"174",1
"175",2
"176",3
"177",3
"178",1
"179",3
"180",3
"181",3
"182",3
"183",2
"184",2
"185",3
"186",4
"187",2
"188",2
"189",2
"190",1
"191",1
"192",4
"193",3
"194",4
"195",4
"196",4
"197",2
"198",4
"199",1
"200",4
"201",1
"202",4
"203",4
"204",4
"205",4
"206",2
"207",4
"208",4
"209",4
"210",4
"211",4
"212",3
"213",2
"214",2
"215",2
"216",1
"217",4
"218",3
"219",3
"220",4
"221",3
"222",3
"223",3
"224",3
"225",3
"226",1
"227",1
"228",1
