"","kmodes"
"1",5
"2",3
"3",2
"4",3
"5",2
"6",5
"7",5
"8",4
"9",4
"10",4
"11",4
"12",5
"13",3
"14",5
"15",3
"16",5
"17",3
"18",3
"19",5
"20",4
"21",4
"22",1
"23",4
"24",5
"25",4
"26",4
"27",4
"28",1
"29",5
"30",4
"31",4
"32",3
"33",4
"34",4
"35",1
"36",5
"37",3
"38",3
"39",3
"40",5
"41",5
"42",4
"43",3
"44",4
"45",5
"46",5
"47",5
"48",3
"49",5
"50",3
"51",5
"52",5
"53",5
"54",3
"55",4
"56",3
"57",1
"58",4
"59",4
"60",5
"61",4
"62",4
"63",3
"64",5
"65",4
"66",4
"67",3
"68",3
"69",3
"70",4
"71",3
"72",1
"73",5
"74",5
"75",3
"76",5
"77",5
"78",5
"79",3
"80",4
"81",5
"82",3
"83",4
"84",5
"85",4
"86",4
"87",3
"88",4
"89",5
"90",1
"91",4
"92",4
"93",4
"94",4
"95",4
"96",4
"97",4
"98",4
"99",4
"100",4
"101",3
"102",5
"103",3
"104",4
"105",3
"106",4
"107",4
"108",4
"109",4
"110",4
"111",1
"112",4
"113",3
"114",4
"115",4
"116",4
"117",4
"118",1
"119",4
"120",4
"121",4
"122",3
"123",4
"124",3
"125",5
"126",5
"127",4
"128",5
"129",5
"130",5
"131",5
"132",3
"133",3
"134",3
"135",5
"136",1
"137",4
"138",4
"139",4
"140",4
"141",5
"142",4
"143",4
"144",3
"145",5
"146",5
"147",5
"148",4
"149",4
"150",4
"151",4
"152",5
"153",4
"154",5
"155",3
"156",1
"157",4
"158",5
"159",4
"160",4
"161",4
"162",4
"163",4
"164",4
"165",4
"166",4
"167",4
"168",3
"169",5
"170",4
"171",4
"172",3
"173",3
"174",4
"175",4
"176",4
"177",4
"178",4
"179",4
"180",3
"181",3
"182",3
"183",4
"184",4
"185",4
"186",3
"187",3
"188",1
"189",1
"190",4
"191",4
"192",4
"193",4
"194",4
"195",4
"196",3
"197",3
"198",3
"199",4
"200",3
"201",4
"202",4
"203",3
"204",4
"205",4
"206",4
"207",1
"208",5
"209",4
"210",3
"211",5
"212",4
"213",5
"214",4
"215",4
"216",3
"217",4
"218",3
"219",4
"220",3
"221",4
"222",3
"223",5
"224",3
"225",4
"226",3
"227",3
"228",3
"229",4
"230",5
"231",5
"232",5
"233",1
"234",3
"235",4
"236",2
"237",2
"238",3
"239",5
"240",4
"241",5
"242",3
"243",3
"244",2
"245",3
"246",4
"247",3
"248",4
"249",4
"250",3
"251",4
"252",4
"253",4
"254",4
"255",4
"256",4
"257",4
"258",3
"259",4
"260",1
"261",3
"262",4
"263",4
"264",4
"265",4
"266",4
"267",4
"268",4
"269",4
"270",1
"271",4
"272",4
"273",5
"274",4
"275",4
"276",4
"277",4
