"","kmodes"
"1",4
"2",4
"3",4
"4",4
"5",2
"6",2
"7",2
"8",2
"9",4
"10",2
"11",4
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",1
"24",2
"25",2
"26",3
"27",2
"28",3
"29",3
"30",2
"31",2
"32",2
"33",4
"34",4
"35",3
"36",3
"37",4
"38",3
"39",1
"40",2
"41",2
"42",2
"43",2
"44",3
"45",3
"46",3
"47",1
"48",1
"49",3
"50",3
"51",2
"52",2
"53",2
"54",2
"55",3
"56",4
"57",3
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",1
"65",3
"66",2
"67",3
"68",4
"69",4
"70",4
"71",2
"72",4
"73",1
"74",5
"75",5
"76",3
"77",1
"78",4
"79",2
"80",3
"81",4
"82",3
"83",5
"84",1
"85",2
"86",2
"87",1
"88",4
"89",1
"90",1
"91",4
"92",4
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",1
"101",1
"102",1
"103",2
"104",2
"105",2
"106",2
"107",1
"108",2
"109",2
"110",2
"111",1
"112",2
"113",1
"114",2
"115",2
"116",5
"117",2
"118",4
"119",3
"120",2
"121",2
"122",2
"123",1
"124",1
"125",1
"126",4
"127",4
"128",4
"129",4
"130",2
"131",4
"132",2
"133",3
"134",1
"135",2
"136",3
"137",2
"138",1
"139",3
"140",2
"141",2
"142",2
"143",3
"144",1
"145",1
"146",2
"147",1
"148",1
"149",5
"150",2
"151",4
"152",5
"153",2
"154",2
"155",4
"156",1
"157",1
"158",1
"159",1
"160",1
"161",5
"162",4
"163",2
"164",2
"165",2
"166",2
"167",2
"168",2
"169",1
"170",2
"171",2
"172",3
"173",2
"174",2
"175",3
"176",3
"177",2
"178",3
"179",2
"180",2
"181",2
"182",1
"183",2
"184",2
"185",2
"186",3
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",5
"196",1
"197",2
"198",2
"199",2
"200",2
"201",4
"202",5
"203",3
"204",1
"205",2
"206",2
"207",1
"208",2
"209",2
"210",1
"211",5
"212",4
"213",5
"214",5
"215",2
"216",1
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",3
"225",2
"226",2
"227",1
"228",2
"229",3
"230",2
"231",2
"232",2
"233",3
"234",3
"235",3
"236",3
"237",2
"238",2
"239",2
"240",3
"241",3
"242",2
"243",3
"244",3
"245",1
"246",3
"247",3
"248",3
"249",4
"250",3
"251",4
"252",4
"253",1
"254",1
"255",2
"256",2
"257",1
"258",1
"259",2
"260",2
"261",2
"262",2
"263",2
"264",1
"265",2
"266",2
"267",2
"268",2
"269",2
"270",2
"271",2
"272",2
"273",2
"274",2
"275",2
"276",5
"277",3
"278",2
"279",1
"280",3
"281",3
"282",3
"283",3
"284",2
"285",3
"286",5
"287",3
"288",1
"289",1
"290",2
"291",1
"292",5
"293",1
"294",2
"295",2
"296",1
"297",1
