"","kmodes"
"1",3
"2",3
"3",3
"4",3
"5",2
"6",2
"7",2
"8",2
"9",3
"10",2
"11",3
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",1
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",3
"35",2
"36",2
"37",2
"38",2
"39",1
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",1
"48",1
"49",2
"50",2
"51",1
"52",2
"53",2
"54",2
"55",2
"56",3
"57",2
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",1
"65",2
"66",2
"67",2
"68",3
"69",2
"70",3
"71",2
"72",3
"73",1
"74",3
"75",3
"76",2
"77",1
"78",3
"79",1
"80",2
"81",2
"82",3
"83",3
"84",1
"85",2
"86",3
"87",1
"88",3
"89",1
"90",1
"91",3
"92",2
"93",2
"94",1
"95",2
"96",1
"97",2
"98",1
"99",2
"100",1
"101",1
"102",1
"103",2
"104",2
"105",2
"106",2
"107",1
"108",2
"109",2
"110",2
"111",1
"112",2
"113",1
"114",2
"115",3
"116",3
"117",2
"118",3
"119",2
"120",2
"121",2
"122",2
"123",1
"124",1
"125",1
"126",3
"127",3
"128",3
"129",3
"130",2
"131",2
"132",1
"133",2
"134",1
"135",2
"136",3
"137",2
"138",1
"139",3
"140",1
"141",1
"142",2
"143",2
"144",1
"145",1
"146",2
"147",1
"148",1
"149",3
"150",2
"151",3
"152",3
"153",2
"154",2
"155",3
"156",1
"157",1
"158",1
"159",1
"160",1
"161",3
"162",3
"163",2
"164",2
"165",2
"166",2
"167",1
"168",2
"169",1
"170",1
"171",2
"172",2
"173",2
"174",2
"175",3
"176",3
"177",2
"178",2
"179",2
"180",2
"181",2
"182",1
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",1
"196",1
"197",2
"198",2
"199",1
"200",2
"201",3
"202",3
"203",2
"204",1
"205",2
"206",2
"207",1
"208",2
"209",3
"210",1
"211",3
"212",3
"213",1
"214",3
"215",2
"216",3
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",2
"225",1
"226",2
"227",1
"228",2
"229",2
"230",2
"231",2
"232",2
"233",2
"234",3
"235",3
"236",2
"237",2
"238",2
"239",2
"240",2
"241",2
"242",2
"243",2
"244",2
"245",1
"246",2
"247",2
"248",3
"249",3
"250",2
"251",3
"252",3
"253",1
"254",1
"255",1
"256",2
"257",1
"258",1
"259",1
"260",2
"261",2
"262",2
"263",2
"264",1
"265",2
"266",2
"267",2
"268",2
"269",2
"270",2
"271",2
"272",2
"273",2
"274",2
"275",1
"276",3
"277",2
"278",2
"279",1
"280",2
"281",3
"282",2
"283",2
"284",2
"285",2
"286",1
"287",3
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",2
"295",2
"296",1
"297",1
"298",2
"299",1
"300",1
"301",2
"302",2
"303",2
"304",2
"305",2
"306",2
"307",3
"308",2
"309",2
"310",3
"311",2
"312",1
"313",2
"314",1
"315",2
"316",2
"317",1
"318",2
"319",2
"320",2
"321",3
"322",3
"323",2
"324",1
"325",3
"326",1
"327",2
"328",2
"329",2
"330",3
"331",1
"332",2
"333",3
"334",2
"335",2
"336",2
"337",3
"338",2
"339",2
"340",2
"341",2
"342",2
"343",1
"344",1
"345",3
"346",2
"347",1
"348",2
"349",2
"350",2
"351",1
"352",3
"353",2
"354",2
"355",3
"356",2
"357",2
"358",2
"359",2
"360",2
"361",1
"362",2
"363",2
"364",2
"365",2
"366",2
"367",2
"368",3
"369",2
"370",3
"371",1
"372",2
"373",2
"374",2
"375",2
"376",1
"377",2
"378",2
"379",2
"380",2
"381",2
"382",1
"383",1
"384",1
"385",2
"386",2
"387",1
"388",1
"389",2
"390",2
"391",1
"392",2
"393",2
"394",3
"395",2
"396",2
"397",2
"398",1
"399",1
"400",1
"401",2
"402",1
"403",2
"404",1
"405",2
"406",2
"407",1
"408",1
"409",1
"410",3
"411",2
"412",1
"413",1
"414",1
"415",2
"416",2
"417",1
"418",1
"419",2
"420",2
"421",2
"422",2
"423",2
"424",2
"425",2
"426",2
"427",1
"428",2
"429",1
"430",2
"431",2
"432",2
"433",2
"434",2
"435",3
"436",2
"437",3
"438",1
"439",2
"440",2
"441",2
"442",2
"443",2
"444",2
"445",2
"446",2
"447",2
"448",2
"449",1
"450",2
"451",2
"452",2
"453",2
"454",2
"455",2
"456",1
"457",1
"458",2
"459",1
"460",2
"461",2
"462",1
"463",2
"464",2
"465",1
"466",2
"467",2
"468",2
"469",2
"470",2
"471",1
"472",2
"473",2
"474",2
"475",2
"476",2
"477",1
"478",1
"479",2
"480",2
"481",1
"482",2
"483",2
"484",1
"485",2
"486",2
"487",2
"488",2
"489",1
"490",2
"491",2
