"","kmodes"
"1",2
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",2
"9",3
"10",2
"11",1
"12",3
"13",3
"14",3
"15",3
"16",3
"17",1
"18",1
"19",2
"20",3
"21",2
"22",2
"23",3
"24",3
"25",3
"26",3
"27",2
"28",1
"29",3
"30",2
"31",2
"32",2
"33",3
"34",2
"35",1
"36",3
"37",2
"38",2
"39",3
"40",2
"41",3
"42",2
"43",1
"44",3
"45",1
"46",1
"47",1
"48",1
"49",3
"50",2
"51",2
"52",2
"53",2
"54",2
"55",3
"56",3
"57",1
"58",1
"59",2
"60",2
"61",2
"62",3
"63",2
"64",2
"65",2
"66",2
"67",2
"68",2
"69",2
"70",2
"71",2
"72",1
"73",2
"74",3
"75",1
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",1
"83",3
"84",3
"85",1
"86",1
"87",3
"88",1
"89",1
"90",1
"91",2
"92",1
"93",2
"94",2
"95",2
"96",2
"97",2
"98",3
"99",2
"100",2
"101",2
"102",2
"103",3
"104",2
"105",2
"106",2
"107",2
"108",1
"109",3
"110",3
"111",3
"112",3
"113",3
"114",3
"115",3
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",1
"124",1
"125",3
"126",3
"127",3
"128",3
"129",3
"130",3
"131",3
"132",3
"133",3
"134",3
"135",3
"136",3
"137",1
"138",2
"139",3
"140",3
"141",3
"142",3
"143",3
"144",3
"145",3
"146",3
"147",3
"148",3
"149",3
"150",3
"151",3
"152",3
"153",2
"154",3
"155",3
"156",3
"157",3
"158",3
"159",3
"160",2
"161",3
"162",3
"163",2
"164",3
"165",2
"166",2
"167",3
"168",3
"169",3
"170",3
"171",3
"172",3
"173",3
"174",3
"175",3
"176",3
"177",3
"178",1
"179",1
"180",3
"181",3
"182",3
"183",1
"184",1
"185",3
"186",3
"187",1
"188",2
"189",3
"190",3
"191",3
"192",3
"193",3
"194",3
"195",3
"196",3
"197",2
"198",3
"199",3
"200",1
"201",1
"202",3
"203",3
"204",3
"205",3
"206",3
"207",3
"208",3
"209",3
"210",3
"211",3
"212",3
"213",3
"214",2
