"","kmodes"
"1",3
"2",1
"3",1
"4",3
"5",3
"6",1
"7",1
"8",3
"9",2
"10",2
"11",1
"12",1
"13",3
"14",3
"15",1
"16",3
"17",1
"18",1
"19",1
"20",1
"21",3
"22",1
"23",3
"24",1
"25",1
"26",3
"27",3
"28",1
"29",1
"30",3
"31",3
"32",3
"33",3
"34",1
"35",3
"36",3
"37",3
"38",3
"39",1
"40",1
"41",3
"42",1
"43",1
"44",3
"45",3
"46",1
"47",1
"48",1
"49",3
"50",3
"51",1
"52",3
"53",3
"54",3
"55",3
"56",3
"57",1
"58",3
"59",1
"60",1
"61",3
"62",3
"63",3
"64",1
"65",3
"66",1
"67",2
"68",3
"69",3
"70",3
"71",3
"72",1
"73",1
"74",1
"75",1
"76",2
"77",1
"78",1
"79",1
"80",1
"81",1
"82",3
"83",1
"84",3
"85",3
"86",1
"87",1
"88",2
"89",3
"90",3
"91",1
"92",3
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",3
"103",1
"104",3
"105",1
"106",1
"107",1
"108",3
"109",1
"110",1
"111",3
"112",3
"113",1
"114",2
"115",2
"116",3
"117",3
"118",3
"119",3
"120",2
"121",3
"122",1
"123",2
"124",1
"125",1
"126",1
"127",1
"128",3
"129",1
"130",3
"131",3
"132",3
"133",3
"134",2
"135",2
"136",2
"137",3
"138",2
"139",2
"140",3
"141",1
"142",1
"143",3
"144",3
"145",2
"146",2
"147",2
"148",3
"149",3
"150",1
"151",3
"152",3
"153",3
"154",1
"155",3
"156",3
"157",3
"158",3
"159",3
"160",1
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",3
"168",3
"169",1
"170",1
"171",3
"172",1
"173",1
"174",3
"175",1
"176",3
"177",3
"178",3
"179",3
"180",2
"181",2
"182",3
"183",1
"184",3
"185",3
"186",3
"187",1
"188",1
"189",1
"190",1
"191",3
"192",2
"193",1
"194",2
"195",1
"196",2
"197",1
"198",3
"199",2
"200",3
"201",3
"202",3
"203",3
"204",3
"205",3
"206",3
"207",2
"208",1
"209",3
"210",3
"211",3
"212",2
"213",1
"214",1
"215",1
"216",3
"217",3
"218",3
"219",2
"220",2
"221",3
"222",2
"223",2
"224",2
"225",2
"226",2
"227",3
"228",3
"229",2
"230",2
"231",2
"232",3
"233",3
"234",3
"235",3
"236",2
"237",3
"238",2
"239",2
"240",3
"241",2
"242",3
"243",3
"244",3
"245",3
"246",3
"247",2
"248",2
"249",1
"250",3
"251",3
"252",3
"253",2
"254",2
"255",3
"256",1
"257",2
"258",1
"259",2
"260",1
"261",2
"262",3
"263",3
"264",1
"265",2
"266",2
"267",2
"268",1
"269",3
"270",1
"271",3
"272",1
"273",1
"274",1
"275",1
"276",2
"277",2
"278",2
"279",2
"280",2
"281",2
"282",3
"283",2
"284",2
"285",2
"286",2
"287",2
"288",2
"289",2
"290",2
"291",2
"292",3
"293",3
"294",3
"295",3
"296",3
"297",1
"298",3
"299",3
"300",1
"301",1
"302",3
"303",1
"304",1
"305",3
"306",1
"307",1
"308",2
"309",2
"310",2
"311",1
"312",3
"313",1
"314",3
"315",2
"316",3
"317",3
