"","kmodes"
"1",4
"2",5
"3",2
"4",4
"5",4
"6",5
"7",5
"8",3
"9",1
"10",1
"11",5
"12",5
"13",4
"14",2
"15",5
"16",3
"17",5
"18",2
"19",5
"20",5
"21",4
"22",5
"23",4
"24",5
"25",2
"26",2
"27",3
"28",5
"29",5
"30",3
"31",4
"32",4
"33",4
"34",5
"35",4
"36",2
"37",4
"38",4
"39",5
"40",5
"41",4
"42",2
"43",5
"44",2
"45",2
"46",5
"47",5
"48",5
"49",3
"50",4
"51",5
"52",2
"53",4
"54",3
"55",3
"56",3
"57",5
"58",4
"59",5
"60",5
"61",4
"62",4
"63",3
"64",5
"65",3
"66",5
"67",1
"68",4
"69",3
"70",4
"71",4
"72",5
"73",5
"74",5
"75",5
"76",1
"77",5
"78",5
"79",5
"80",5
"81",5
"82",4
"83",2
"84",4
"85",4
"86",5
"87",2
"88",1
"89",3
"90",2
"91",5
"92",3
"93",5
"94",5
"95",5
"96",5
"97",5
"98",5
"99",5
"100",5
"101",5
"102",3
"103",1
"104",3
"105",5
"106",5
"107",5
"108",3
"109",5
"110",5
"111",2
"112",3
"113",5
"114",1
"115",4
"116",4
"117",3
"118",3
"119",3
"120",1
"121",3
"122",5
"123",1
"124",1
"125",5
"126",5
"127",5
"128",3
"129",5
"130",3
"131",4
"132",4
"133",3
"134",1
"135",1
"136",1
"137",3
"138",1
"139",1
"140",4
"141",5
"142",2
"143",4
"144",2
"145",2
"146",2
"147",1
"148",3
"149",4
"150",5
"151",4
"152",3
"153",4
"154",5
"155",3
"156",4
"157",4
"158",2
"159",3
"160",5
"161",3
"162",3
"163",3
"164",3
"165",3
"166",4
"167",3
"168",4
"169",5
"170",5
"171",3
"172",5
"173",5
"174",3
"175",5
"176",4
"177",4
"178",3
"179",3
"180",1
"181",1
"182",4
"183",5
"184",4
"185",2
"186",4
"187",5
"188",5
"189",5
"190",5
"191",3
"192",1
"193",5
"194",4
"195",1
"196",1
"197",3
"198",3
"199",1
"200",3
"201",4
"202",4
"203",3
"204",3
"205",3
"206",4
"207",1
"208",5
"209",4
"210",4
"211",3
"212",1
"213",5
"214",2
"215",5
"216",3
"217",3
"218",3
"219",1
"220",1
"221",4
"222",1
"223",1
"224",1
"225",1
"226",1
"227",3
"228",3
"229",1
"230",1
"231",1
"232",2
"233",3
"234",4
"235",3
"236",1
"237",4
"238",1
"239",1
"240",4
"241",1
"242",2
"243",3
"244",4
"245",3
"246",4
"247",1
"248",1
"249",1
"250",4
"251",3
"252",3
"253",3
"254",1
"255",3
"256",5
"257",1
"258",5
"259",4
"260",5
"261",1
"262",3
"263",4
"264",1
"265",1
"266",1
"267",1
"268",1
"269",4
"270",2
"271",4
"272",5
"273",5
"274",5
"275",5
"276",1
"277",1
"278",1
"279",1
"280",1
"281",1
"282",2
"283",1
"284",1
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",4
"293",3
"294",2
"295",2
"296",3
"297",5
"298",2
"299",3
"300",5
"301",5
"302",4
"303",5
"304",5
"305",3
"306",5
"307",5
"308",1
"309",1
"310",4
"311",2
"312",3
"313",5
"314",4
"315",1
"316",4
"317",4
