"","kmodes"
"1",1
"2",5
"3",5
"4",5
"5",4
"6",4
"7",5
"8",3
"9",5
"10",5
"11",5
"12",4
"13",4
"14",5
"15",4
"16",4
"17",4
"18",2
"19",2
"20",4
"21",2
"22",5
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",5
"30",2
"31",2
"32",4
"33",2
"34",4
"35",2
"36",4
"37",4
"38",2
"39",5
"40",5
"41",4
"42",1
"43",2
"44",2
"45",4
"46",1
"47",1
"48",5
"49",5
"50",4
"51",2
"52",5
"53",5
"54",5
"55",5
"56",2
"57",5
"58",5
"59",1
"60",1
"61",2
"62",5
"63",4
"64",4
"65",1
"66",4
"67",4
"68",4
"69",1
"70",5
"71",5
"72",4
"73",4
"74",4
"75",5
"76",4
"77",5
"78",4
"79",5
"80",4
"81",5
"82",2
"83",4
"84",4
"85",4
"86",1
"87",4
"88",5
"89",5
"90",4
"91",4
"92",4
"93",5
"94",4
"95",5
"96",4
"97",5
"98",4
"99",5
"100",1
"101",4
"102",4
"103",4
"104",4
"105",5
"106",4
"107",5
"108",5
"109",1
"110",4
"111",4
"112",5
"113",4
"114",4
"115",4
"116",4
"117",5
"118",5
"119",5
"120",1
"121",5
"122",1
"123",2
"124",2
"125",5
"126",3
"127",2
"128",4
"129",5
"130",1
"131",4
"132",5
"133",4
"134",2
"135",5
"136",2
"137",2
"138",4
"139",5
"140",3
"141",4
"142",1
"143",2
"144",5
"145",5
"146",4
"147",4
"148",5
"149",1
"150",5
"151",2
"152",4
"153",4
"154",5
"155",4
"156",4
"157",4
"158",1
"159",1
"160",2
"161",4
"162",4
"163",1
"164",2
"165",1
"166",4
"167",2
"168",2
"169",5
"170",5
"171",5
"172",2
"173",4
"174",5
"175",1
"176",2
"177",2
"178",4
"179",4
"180",5
"181",4
"182",4
"183",2
"184",4
"185",2
"186",4
"187",4
"188",4
"189",4
"190",5
"191",4
"192",2
"193",4
"194",5
"195",4
"196",4
"197",2
"198",4
"199",4
"200",4
"201",4
"202",4
"203",4
"204",5
"205",4
"206",2
"207",2
"208",2
"209",4
"210",4
"211",4
"212",1
"213",2
"214",4
"215",5
"216",5
"217",2
"218",1
"219",2
"220",4
"221",4
"222",5
"223",4
"224",1
"225",4
"226",1
"227",4
"228",4
"229",1
"230",4
"231",2
"232",4
"233",5
"234",1
"235",4
"236",5
"237",3
"238",1
"239",1
"240",1
"241",5
"242",4
"243",4
"244",4
"245",4
"246",4
"247",5
"248",4
"249",4
"250",4
"251",5
"252",2
"253",4
"254",4
"255",4
"256",4
"257",1
"258",4
"259",5
"260",4
"261",5
"262",1
"263",1
"264",4
"265",4
"266",4
"267",4
"268",4
"269",4
"270",4
"271",4
"272",2
"273",2
"274",2
"275",2
"276",4
"277",4
"278",4
"279",2
"280",1
"281",5
"282",5
"283",1
"284",4
"285",4
"286",4
"287",4
"288",2
"289",2
"290",4
"291",1
"292",5
"293",4
"294",4
"295",4
"296",3
"297",2
"298",4
"299",5
"300",4
"301",5
"302",5
"303",2
"304",2
"305",4
"306",5
"307",4
"308",2
"309",2
"310",5
"311",4
"312",4
"313",5
"314",4
"315",1
"316",4
"317",5
"318",5
"319",4
"320",1
"321",4
"322",4
"323",5
"324",5
"325",4
"326",4
"327",2
"328",4
"329",4
"330",4
"331",1
"332",4
"333",2
"334",2
"335",5
"336",5
"337",5
"338",2
"339",4
"340",5
"341",4
"342",5
"343",4
"344",2
"345",4
"346",4
"347",5
"348",4
"349",2
"350",4
"351",4
"352",4
"353",4
"354",4
"355",5
"356",5
"357",4
"358",4
"359",5
"360",2
"361",4
"362",5
"363",4
"364",4
"365",1
"366",4
"367",5
"368",4
"369",4
"370",1
"371",5
"372",4
"373",5
"374",4
"375",4
"376",4
"377",5
"378",4
"379",4
"380",4
"381",4
"382",4
"383",4
"384",2
"385",2
"386",4
"387",4
"388",2
"389",4
"390",2
"391",4
"392",4
"393",4
"394",4
"395",5
"396",2
"397",1
"398",4
"399",2
"400",4
"401",5
"402",1
"403",5
"404",4
"405",2
"406",2
"407",2
"408",2
"409",4
"410",4
"411",2
"412",5
"413",5
"414",4
"415",4
"416",5
"417",2
"418",5
"419",4
"420",2
"421",4
"422",3
"423",4
"424",4
"425",4
"426",4
"427",5
"428",4
"429",4
"430",4
"431",5
"432",5
"433",4
"434",4
"435",5
"436",4
"437",5
"438",5
"439",5
"440",4
"441",5
"442",2
"443",5
"444",5
"445",4
"446",1
"447",5
"448",4
"449",4
"450",4
"451",4
"452",5
"453",2
"454",5
"455",1
"456",4
"457",2
"458",4
"459",4
"460",5
"461",5
"462",5
"463",1
"464",2
"465",4
"466",4
"467",4
"468",5
"469",4
"470",1
"471",4
"472",5
"473",4
"474",5
"475",2
"476",5
"477",5
"478",4
"479",2
"480",4
"481",5
"482",2
"483",1
"484",4
"485",5
"486",5
"487",5
"488",5
"489",5
"490",4
"491",4
"492",5
"493",4
"494",5
"495",5
"496",5
"497",1
"498",1
"499",5
"500",4
"501",5
"502",2
"503",4
"504",4
"505",4
"506",5
"507",4
"508",2
"509",4
"510",4
"511",5
"512",2
"513",4
"514",1
"515",4
"516",2
"517",4
"518",4
"519",5
"520",4
"521",1
"522",1
"523",3
"524",2
"525",2
"526",3
"527",1
"528",3
"529",2
"530",2
"531",3
"532",2
"533",2
"534",2
"535",3
"536",2
"537",2
"538",2
"539",2
"540",2
"541",2
"542",2
"543",2
"544",2
"545",5
"546",2
"547",3
"548",2
"549",2
"550",5
"551",5
"552",4
"553",4
"554",2
"555",2
"556",2
"557",2
"558",2
"559",5
"560",1
"561",2
"562",1
"563",2
"564",2
"565",2
"566",2
"567",2
"568",2
"569",2
"570",2
"571",3
"572",2
"573",2
"574",5
"575",2
"576",2
"577",2
"578",2
"579",1
"580",2
"581",2
"582",2
"583",2
"584",2
"585",2
"586",2
"587",1
"588",2
"589",1
"590",2
"591",2
"592",2
"593",2
"594",2
"595",2
"596",3
"597",2
"598",4
"599",5
"600",1
"601",1
"602",4
"603",1
"604",1
"605",2
"606",1
"607",2
"608",2
"609",1
"610",1
"611",4
"612",3
"613",2
"614",3
"615",2
"616",2
"617",2
"618",3
"619",3
"620",1
"621",3
"622",4
"623",3
"624",2
"625",2
"626",2
"627",2
"628",1
"629",2
"630",2
"631",1
"632",2
"633",1
"634",1
"635",2
"636",2
"637",4
"638",4
"639",2
"640",2
"641",2
"642",2
"643",2
"644",1
"645",2
"646",1
"647",1
"648",2
"649",1
"650",2
"651",2
"652",3
"653",1
"654",1
"655",2
"656",3
"657",3
"658",2
"659",4
"660",4
"661",4
"662",1
"663",4
"664",5
"665",2
"666",4
"667",4
"668",5
"669",5
"670",4
"671",1
"672",5
"673",2
"674",4
"675",4
"676",4
"677",4
"678",5
"679",4
"680",4
"681",4
"682",3
"683",4
"684",5
"685",1
"686",4
"687",4
"688",4
"689",5
"690",5
"691",4
"692",4
"693",4
"694",4
"695",4
"696",4
"697",4
"698",1
"699",4
"700",4
"701",4
"702",3
"703",2
"704",4
"705",4
"706",4
"707",4
"708",3
"709",3
"710",4
"711",4
"712",4
"713",4
"714",4
"715",2
"716",3
"717",4
"718",4
"719",4
"720",4
"721",4
"722",4
"723",4
"724",4
"725",4
"726",5
"727",4
"728",4
"729",4
"730",5
"731",4
"732",4
"733",5
"734",4
"735",4
"736",1
"737",2
"738",1
"739",1
"740",2
"741",1
"742",1
"743",5
"744",2
"745",1
"746",1
"747",5
"748",2
"749",1
"750",5
"751",2
"752",3
"753",2
"754",1
"755",1
"756",4
"757",1
"758",1
"759",5
"760",1
"761",1
"762",1
"763",5
"764",1
"765",4
"766",2
"767",2
"768",1
"769",4
"770",4
"771",2
"772",5
"773",1
"774",4
"775",2
"776",5
"777",1
"778",2
"779",2
"780",2
"781",4
"782",1
"783",5
"784",2
"785",2
"786",1
"787",2
"788",1
"789",2
"790",4
"791",2
"792",4
"793",2
"794",2
"795",2
"796",2
"797",1
"798",4
"799",4
"800",2
"801",1
"802",2
"803",2
"804",3
"805",1
"806",1
"807",2
"808",5
"809",2
"810",5
"811",4
"812",5
"813",1
"814",4
"815",4
"816",2
"817",2
"818",2
"819",2
"820",4
"821",4
"822",4
"823",2
"824",3
"825",2
"826",3
"827",1
"828",4
"829",4
"830",4
"831",1
"832",2
"833",4
"834",1
"835",4
"836",5
"837",5
"838",2
"839",4
"840",5
"841",2
"842",5
"843",5
"844",5
"845",5
"846",4
"847",5
"848",1
"849",1
"850",2
"851",5
"852",5
"853",4
"854",5
"855",5
"856",4
"857",4
"858",1
"859",5
"860",1
"861",4
"862",1
"863",4
