"","kmodes"
"1",5
"2",4
"3",4
"4",1
"5",4
"6",4
"7",4
"8",1
"9",4
"10",4
"11",1
"12",5
"13",5
"14",4
"15",5
"16",5
"17",4
"18",4
"19",5
"20",5
"21",5
"22",5
"23",5
"24",3
"25",5
"26",4
"27",4
"28",4
"29",5
"30",4
"31",5
"32",5
"33",5
"34",5
"35",3
"36",5
"37",4
"38",3
"39",5
"40",5
"41",5
"42",3
"43",4
"44",5
"45",5
"46",5
"47",5
"48",5
"49",5
"50",5
"51",5
"52",4
"53",4
"54",5
"55",5
"56",5
"57",5
"58",5
"59",3
"60",5
"61",5
"62",1
"63",3
"64",3
"65",5
"66",3
"67",3
"68",3
"69",5
"70",2
"71",3
"72",1
"73",5
"74",3
"75",5
"76",1
"77",3
"78",1
"79",4
"80",3
"81",3
"82",2
"83",2
"84",1
"85",2
"86",5
"87",2
"88",2
"89",5
"90",1
"91",2
"92",1
"93",2
"94",4
"95",4
"96",5
"97",2
"98",3
"99",4
"100",5
"101",5
"102",1
"103",3
"104",3
"105",4
"106",3
"107",5
"108",4
"109",5
"110",3
"111",4
"112",4
"113",4
"114",5
"115",1
"116",2
"117",5
"118",5
"119",5
"120",3
"121",5
"122",5
"123",4
"124",1
"125",3
"126",2
"127",3
"128",1
"129",1
"130",4
"131",3
"132",3
"133",3
"134",5
"135",3
"136",3
"137",3
"138",3
"139",5
"140",5
"141",2
"142",3
"143",3
"144",2
"145",1
"146",3
"147",3
"148",2
"149",1
"150",5
"151",3
"152",3
"153",2
"154",3
"155",3
"156",1
"157",3
"158",5
"159",5
"160",2
"161",3
"162",5
"163",3
"164",3
"165",3
"166",3
"167",3
"168",3
"169",3
"170",3
"171",5
"172",3
"173",3
"174",5
"175",5
"176",3
"177",3
"178",3
"179",3
"180",5
"181",1
"182",5
"183",3
"184",3
"185",4
"186",5
"187",5
"188",4
"189",5
"190",1
"191",5
"192",5
"193",5
"194",3
"195",1
"196",3
"197",3
"198",3
"199",3
"200",3
"201",3
"202",3
"203",2
"204",2
"205",1
"206",3
"207",2
"208",1
"209",2
"210",3
"211",3
"212",4
"213",5
"214",3
"215",2
"216",3
"217",3
"218",3
"219",1
"220",3
"221",5
"222",3
"223",2
"224",1
"225",5
"226",4
"227",1
"228",1
"229",4
"230",3
"231",1
"232",3
"233",3
"234",3
"235",5
"236",3
"237",3
"238",5
"239",1
"240",2
"241",3
"242",3
"243",3
"244",3
"245",3
"246",3
"247",3
"248",3
"249",3
"250",3
"251",3
"252",4
"253",4
"254",1
"255",3
"256",3
"257",3
"258",3
"259",1
"260",2
"261",5
"262",2
"263",3
"264",3
"265",2
"266",3
"267",4
"268",3
"269",3
"270",3
"271",3
"272",3
"273",3
