"","kmodes"
"1",3
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",2
"19",2
"20",2
"21",3
"22",3
"23",3
"24",3
"25",3
"26",2
"27",2
"28",3
"29",2
"30",2
"31",2
"32",2
"33",3
"34",3
"35",3
"36",2
"37",2
"38",2
"39",2
"40",2
"41",3
"42",2
"43",1
"44",1
"45",2
"46",3
"47",2
"48",2
"49",2
"50",2
"51",2
"52",3
"53",2
"54",2
"55",2
"56",2
"57",1
"58",3
"59",2
"60",3
"61",2
"62",2
"63",2
"64",3
"65",2
"66",3
"67",3
"68",1
"69",2
"70",2
"71",1
"72",2
"73",3
"74",3
"75",1
"76",3
"77",1
"78",1
"79",3
"80",2
"81",1
"82",3
"83",1
"84",3
"85",1
"86",2
"87",2
"88",1
"89",1
"90",3
"91",2
"92",2
"93",3
"94",3
"95",3
"96",3
"97",2
"98",3
"99",2
"100",3
"101",3
"102",3
"103",1
"104",1
"105",1
"106",1
"107",3
"108",2
"109",2
"110",1
"111",2
"112",1
"113",3
"114",1
"115",3
"116",1
"117",2
"118",3
"119",3
"120",3
"121",2
"122",3
"123",3
"124",3
"125",1
"126",3
"127",3
"128",3
"129",3
"130",2
"131",3
"132",1
"133",1
"134",1
"135",2
"136",3
"137",1
"138",2
"139",2
"140",2
"141",1
"142",1
"143",1
"144",3
"145",3
"146",1
"147",3
"148",3
"149",3
"150",1
"151",2
"152",1
"153",1
"154",2
"155",2
"156",1
"157",1
"158",2
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",2
"166",1
"167",3
"168",1
"169",1
"170",1
"171",3
"172",3
"173",3
"174",1
"175",1
"176",1
"177",1
"178",2
"179",1
"180",2
"181",1
"182",2
"183",1
"184",1
"185",1
"186",2
"187",1
"188",2
"189",2
"190",2
"191",1
"192",2
"193",1
"194",2
"195",2
"196",2
"197",1
"198",2
"199",1
"200",1
"201",1
"202",2
"203",2
"204",1
"205",1
"206",1
"207",2
"208",1
"209",2
"210",2
"211",1
"212",2
"213",3
"214",1
"215",1
"216",3
"217",2
"218",1
"219",2
"220",1
"221",1
"222",1
"223",3
"224",1
"225",1
"226",1
"227",3
"228",3
"229",3
"230",3
"231",2
"232",1
"233",1
"234",1
"235",2
"236",2
"237",2
"238",1
"239",1
"240",2
"241",2
"242",1
"243",1
"244",1
"245",2
"246",2
"247",1
"248",1
"249",1
"250",2
"251",2
"252",1
"253",2
"254",1
"255",1
"256",1
"257",1
"258",2
"259",2
"260",3
"261",1
"262",1
"263",2
"264",1
"265",1
"266",1
"267",1
"268",2
"269",1
"270",2
"271",2
"272",2
"273",2
"274",2
"275",1
"276",1
"277",2
"278",1
"279",1
"280",1
"281",1
"282",3
"283",1
"284",2
"285",2
"286",2
"287",1
"288",2
"289",1
"290",2
"291",2
"292",2
"293",2
"294",2
"295",2
"296",2
"297",2
"298",2
"299",2
"300",1
"301",2
"302",2
"303",2
"304",2
"305",2
"306",3
"307",2
"308",2
"309",1
"310",1
"311",3
"312",2
"313",2
"314",2
"315",2
"316",2
"317",2
"318",1
"319",2
"320",1
"321",2
"322",1
"323",1
"324",1
"325",2
"326",1
"327",3
"328",3
"329",2
"330",2
