"","kmodes"
"1",2
"2",5
"3",5
"4",1
"5",1
"6",1
"7",1
"8",5
"9",1
"10",1
"11",1
"12",1
"13",5
"14",5
"15",5
"16",5
"17",5
"18",1
"19",5
"20",5
"21",2
"22",2
"23",2
"24",2
"25",2
"26",1
"27",5
"28",2
"29",5
"30",5
"31",1
"32",1
"33",2
"34",2
"35",2
"36",1
"37",5
"38",5
"39",5
"40",5
"41",2
"42",1
"43",4
"44",4
"45",5
"46",1
"47",5
"48",1
"49",5
"50",5
"51",5
"52",2
"53",5
"54",5
"55",5
"56",5
"57",4
"58",2
"59",1
"60",2
"61",1
"62",2
"63",1
"64",2
"65",5
"66",1
"67",1
"68",4
"69",5
"70",5
"71",4
"72",5
"73",1
"74",2
"75",4
"76",2
"77",3
"78",4
"79",2
"80",2
"81",4
"82",1
"83",4
"84",1
"85",4
"86",1
"87",5
"88",3
"89",4
"90",2
"91",5
"92",5
"93",2
"94",2
"95",2
"96",2
"97",5
"98",2
"99",5
"100",2
"101",2
"102",2
"103",4
"104",4
"105",3
"106",4
"107",2
"108",5
"109",1
"110",1
"111",1
"112",4
"113",2
"114",4
"115",2
"116",4
"117",5
"118",2
"119",2
"120",1
"121",5
"122",2
"123",2
"124",3
"125",2
"126",2
"127",2
"128",2
"129",1
"130",1
"131",2
"132",3
"133",1
"134",4
"135",5
"136",2
"137",4
"138",5
"139",5
"140",5
"141",4
"142",4
"143",4
"144",2
"145",1
"146",4
"147",3
"148",3
"149",3
"150",3
"151",5
"152",4
"153",4
"154",1
"155",5
"156",4
"157",4
"158",5
"159",4
"160",4
"161",4
"162",4
"163",3
"164",4
"165",5
"166",3
"167",3
"168",3
"169",4
"170",4
"171",1
"172",1
"173",3
"174",3
"175",3
"176",3
"177",4
"178",5
"179",4
"180",5
"181",4
"182",1
"183",4
"184",4
"185",4
"186",5
"187",4
"188",5
"189",5
"190",5
"191",4
"192",5
"193",4
"194",5
"195",5
"196",5
"197",4
"198",5
"199",4
"200",4
"201",4
"202",5
"203",5
"204",4
"205",3
"206",4
"207",5
"208",4
"209",5
"210",5
"211",4
"212",1
"213",2
"214",3
"215",3
"216",3
"217",5
"218",4
"219",5
"220",4
"221",4
"222",4
"223",3
"224",4
"225",3
"226",3
"227",3
"228",2
"229",3
"230",1
"231",5
"232",4
"233",4
"234",4
"235",5
"236",5
"237",5
"238",4
"239",4
"240",5
"241",5
"242",4
"243",4
"244",4
"245",5
"246",5
"247",3
"248",4
"249",4
"250",5
"251",5
"252",4
"253",1
"254",3
"255",4
"256",3
"257",3
"258",5
"259",1
"260",3
"261",3
"262",4
"263",5
"264",4
"265",3
"266",3
"267",4
"268",4
"269",5
"270",4
"271",5
"272",5
"273",5
"274",5
"275",5
"276",3
"277",4
"278",5
"279",4
"280",4
"281",3
"282",1
"283",1
"284",4
"285",5
"286",1
"287",5
"288",4
"289",4
"290",4
"291",5
"292",5
"293",5
"294",5
"295",5
"296",5
"297",5
"298",5
"299",5
"300",5
"301",4
"302",5
"303",5
"304",5
"305",1
"306",5
"307",2
"308",1
"309",5
"310",4
"311",4
"312",2
"313",5
"314",5
"315",5
"316",5
"317",5
"318",5
"319",4
"320",5
"321",4
"322",5
"323",4
"324",4
"325",4
"326",5
"327",4
"328",1
"329",1
"330",5
"331",5
"332",2
"333",5
"334",2
"335",3
"336",2
"337",5
"338",2
"339",2
"340",5
"341",5
"342",3
"343",2
"344",1
"345",5
"346",5
"347",2
"348",5
"349",5
"350",4
"351",5
"352",5
"353",5
"354",2
"355",2
"356",5
"357",4
"358",5
"359",5
"360",5
"361",5
"362",2
"363",2
"364",5
"365",1
"366",2
"367",2
"368",5
"369",1
"370",2
"371",2
"372",2
"373",2
"374",1
"375",2
"376",2
"377",2
"378",4
"379",2
"380",2
"381",2
"382",2
"383",2
"384",2
"385",2
"386",2
"387",1
"388",2
"389",5
"390",2
"391",5
"392",2
"393",2
"394",1
"395",2
"396",2
"397",4
"398",2
"399",2
"400",5
"401",4
"402",5
"403",4
"404",4
"405",5
"406",4
"407",4
"408",5
"409",4
"410",4
"411",1
"412",3
"413",4
"414",2
"415",5
"416",5
"417",2
"418",2
"419",5
"420",5
"421",5
"422",2
"423",5
"424",5
"425",2
"426",2
"427",5
"428",5
"429",4
"430",4
"431",1
"432",2
"433",5
"434",5
"435",2
"436",4
"437",4
"438",3
"439",3
"440",3
"441",3
"442",3
"443",3
"444",4
"445",3
"446",3
"447",3
"448",4
"449",4
"450",4
"451",4
"452",4
"453",4
"454",4
"455",4
"456",4
"457",4
"458",4
"459",4
"460",2
"461",3
"462",1
"463",4
"464",3
"465",4
"466",4
"467",1
"468",4
"469",4
"470",1
"471",5
"472",5
"473",5
"474",4
"475",2
"476",4
"477",3
"478",3
"479",3
"480",3
"481",4
"482",5
"483",5
"484",5
"485",4
"486",4
"487",5
"488",4
"489",5
"490",2
"491",1
"492",2
"493",2
"494",5
"495",5
"496",2
"497",2
"498",2
"499",5
"500",2
"501",2
"502",2
"503",5
"504",3
"505",4
"506",4
"507",5
"508",2
"509",2
"510",2
"511",2
"512",4
"513",1
"514",2
"515",2
"516",5
"517",2
"518",5
"519",5
"520",2
"521",5
"522",5
"523",5
"524",3
"525",2
"526",3
"527",2
"528",5
"529",4
"530",3
"531",5
"532",5
"533",5
"534",5
"535",2
"536",2
"537",5
"538",4
"539",5
"540",1
"541",3
"542",3
"543",2
"544",4
"545",3
"546",4
"547",5
"548",5
"549",1
"550",5
"551",2
"552",4
"553",4
"554",4
"555",3
"556",3
"557",5
"558",3
"559",3
"560",3
"561",3
"562",3
"563",3
"564",3
"565",4
"566",1
"567",2
"568",5
"569",2
"570",1
"571",3
"572",2
"573",2
"574",4
"575",5
"576",5
"577",2
"578",5
"579",1
"580",2
"581",1
"582",4
