"","kmodes"
"1",5
"2",4
"3",4
"4",1
"5",1
"6",1
"7",1
"8",4
"9",4
"10",1
"11",4
"12",5
"13",4
"14",5
"15",4
"16",4
"17",3
"18",3
"19",1
"20",1
"21",4
"22",4
"23",1
"24",4
"25",1
"26",1
"27",1
"28",1
"29",1
"30",5
"31",5
"32",5
"33",5
"34",5
"35",4
"36",4
"37",5
"38",2
"39",5
"40",4
"41",5
"42",5
"43",4
"44",5
"45",4
"46",1
"47",5
"48",5
"49",4
"50",4
"51",5
"52",4
"53",4
"54",1
"55",1
"56",4
"57",3
"58",5
"59",5
"60",2
"61",5
"62",4
"63",4
"64",4
"65",4
"66",3
"67",2
"68",1
"69",3
"70",4
"71",2
"72",4
"73",1
"74",4
"75",4
"76",2
"77",5
"78",5
"79",4
"80",1
"81",1
"82",4
"83",5
"84",5
"85",4
"86",3
"87",4
"88",1
"89",5
"90",4
"91",1
"92",5
"93",1
"94",4
"95",2
"96",5
"97",4
"98",4
"99",1
"100",1
"101",4
"102",4
"103",3
"104",3
"105",3
"106",1
"107",1
"108",1
"109",4
"110",2
"111",4
"112",1
"113",5
"114",4
"115",5
"116",3
"117",1
"118",5
"119",4
"120",4
"121",5
"122",2
"123",4
"124",1
"125",4
"126",2
"127",2
"128",2
"129",5
"130",2
"131",5
"132",1
"133",1
"134",4
"135",4
"136",1
"137",1
"138",1
"139",5
"140",2
"141",5
"142",5
"143",2
"144",5
"145",5
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",5
"154",2
"155",2
"156",2
"157",2
"158",2
"159",5
"160",4
"161",5
"162",1
"163",3
"164",1
"165",1
"166",1
"167",3
"168",2
"169",1
"170",1
"171",5
"172",2
"173",2
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",5
"192",5
"193",2
"194",2
"195",4
"196",4
"197",1
"198",1
"199",1
"200",1
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",1
"210",1
"211",1
"212",1
"213",1
"214",1
"215",4
"216",1
"217",1
"218",1
"219",2
"220",2
"221",1
"222",5
"223",1
"224",1
"225",2
"226",1
"227",1
"228",1
"229",4
"230",2
"231",2
"232",4
"233",5
"234",2
"235",2
"236",5
"237",4
"238",4
"239",1
"240",1
"241",3
"242",3
"243",3
"244",1
"245",2
"246",2
"247",2
"248",1
"249",5
"250",5
"251",5
"252",2
"253",5
"254",2
"255",5
"256",5
"257",1
"258",5
"259",2
"260",5
"261",1
"262",3
"263",1
"264",2
"265",4
"266",2
"267",2
"268",2
"269",2
"270",2
"271",1
"272",4
"273",1
"274",1
"275",2
"276",2
"277",2
"278",5
"279",1
"280",1
"281",1
"282",1
"283",4
"284",2
"285",2
"286",1
"287",1
"288",5
"289",5
"290",1
"291",3
"292",1
"293",4
"294",1
"295",3
"296",1
"297",1
"298",1
"299",3
"300",5
"301",3
"302",2
"303",1
"304",1
"305",2
"306",4
"307",2
"308",2
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",4
"316",2
"317",2
"318",1
"319",1
"320",3
"321",1
"322",5
"323",5
"324",2
"325",4
"326",4
"327",1
"328",4
"329",3
"330",1
"331",1
"332",4
"333",1
"334",1
"335",1
"336",1
"337",4
"338",1
"339",4
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",4
"351",1
"352",3
"353",3
"354",1
"355",4
"356",1
"357",1
"358",4
"359",5
"360",2
"361",1
"362",1
"363",2
"364",2
"365",1
"366",2
"367",4
"368",1
"369",4
"370",2
"371",4
"372",4
"373",1
"374",3
"375",1
"376",4
"377",4
"378",4
"379",5
"380",5
"381",2
"382",5
"383",2
"384",2
"385",2
"386",1
"387",4
"388",1
"389",4
"390",3
"391",1
"392",1
"393",1
"394",4
"395",4
"396",5
"397",2
"398",5
"399",4
"400",5
"401",2
"402",5
"403",3
"404",3
"405",3
"406",5
"407",5
"408",4
"409",5
"410",2
"411",5
"412",2
"413",5
"414",1
"415",5
"416",3
"417",4
"418",2
"419",4
"420",4
"421",2
"422",2
"423",3
"424",5
"425",5
"426",1
"427",3
"428",1
"429",2
"430",2
"431",1
"432",1
"433",1
"434",3
"435",3
"436",2
"437",1
"438",2
"439",2
"440",2
"441",2
"442",2
"443",5
"444",2
"445",1
"446",4
"447",4
"448",5
"449",5
"450",5
"451",3
"452",1
"453",2
"454",3
"455",1
"456",1
"457",1
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",2
"466",4
"467",3
"468",5
"469",2
"470",1
"471",5
"472",1
"473",1
"474",4
"475",1
"476",5
"477",1
"478",1
"479",2
"480",2
