"","kmodes"
"1",1
"2",3
"3",4
"4",4
"5",4
"6",4
"7",4
"8",3
"9",3
"10",4
"11",3
"12",1
"13",1
"14",1
"15",3
"16",3
"17",4
"18",4
"19",4
"20",4
"21",3
"22",3
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",1
"31",1
"32",1
"33",1
"34",1
"35",3
"36",3
"37",1
"38",2
"39",1
"40",3
"41",1
"42",1
"43",3
"44",1
"45",3
"46",4
"47",1
"48",1
"49",3
"50",3
"51",1
"52",3
"53",3
"54",4
"55",4
"56",3
"57",4
"58",1
"59",1
"60",2
"61",1
"62",3
"63",4
"64",3
"65",1
"66",4
"67",2
"68",4
"69",4
"70",3
"71",1
"72",3
"73",4
"74",3
"75",3
"76",2
"77",1
"78",1
"79",3
"80",4
"81",4
"82",4
"83",1
"84",1
"85",3
"86",4
"87",3
"88",4
"89",1
"90",3
"91",4
"92",1
"93",4
"94",3
"95",2
"96",1
"97",3
"98",3
"99",4
"100",4
"101",3
"102",3
"103",4
"104",4
"105",4
"106",4
"107",4
"108",4
"109",3
"110",2
"111",3
"112",4
"113",1
"114",3
"115",1
"116",4
"117",4
"118",1
"119",3
"120",3
"121",1
"122",2
"123",3
"124",4
"125",3
"126",2
"127",2
"128",2
"129",1
"130",2
"131",1
"132",4
"133",4
"134",4
"135",3
"136",4
"137",4
"138",4
"139",1
"140",2
"141",1
"142",2
"143",2
"144",1
"145",1
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",1
"154",2
"155",2
"156",2
"157",2
"158",2
"159",1
"160",3
"161",1
"162",4
"163",3
"164",4
"165",4
"166",4
"167",4
"168",2
"169",4
"170",4
"171",1
"172",2
"173",2
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",1
"192",1
"193",2
"194",2
"195",3
"196",4
"197",4
"198",4
"199",4
"200",4
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",4
"210",4
"211",4
"212",4
"213",4
"214",4
"215",4
"216",4
"217",4
"218",4
"219",2
"220",2
"221",4
"222",1
"223",4
"224",4
"225",2
"226",4
"227",4
"228",4
"229",3
"230",2
"231",2
"232",3
"233",1
"234",2
"235",2
"236",1
"237",4
"238",3
"239",4
"240",4
"241",4
"242",4
"243",4
"244",4
"245",2
"246",2
"247",2
"248",4
"249",1
"250",1
"251",1
"252",2
"253",1
"254",2
"255",1
"256",1
"257",4
"258",1
"259",2
"260",1
"261",4
"262",3
"263",4
"264",2
"265",3
"266",2
"267",2
"268",2
"269",2
"270",1
"271",4
"272",3
"273",4
"274",4
"275",2
"276",2
"277",2
"278",1
"279",4
"280",4
"281",4
"282",4
"283",3
"284",2
"285",2
"286",4
"287",4
"288",1
"289",1
"290",4
"291",4
"292",4
"293",3
"294",4
"295",4
"296",4
"297",4
"298",4
"299",4
"300",1
"301",4
"302",2
"303",4
"304",4
"305",2
"306",3
"307",2
"308",2
"309",4
"310",4
"311",4
"312",4
"313",4
"314",4
"315",3
"316",2
"317",2
"318",4
"319",4
"320",4
"321",4
"322",1
"323",1
"324",2
"325",3
"326",3
"327",4
"328",3
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",3
"338",4
"339",3
"340",4
"341",4
"342",4
"343",4
"344",4
"345",4
"346",4
"347",4
"348",4
"349",4
"350",3
"351",4
"352",4
"353",4
"354",4
"355",3
"356",4
"357",4
"358",3
"359",1
"360",2
"361",4
"362",4
"363",2
"364",2
"365",4
"366",2
"367",3
"368",4
"369",3
"370",2
"371",3
"372",3
"373",4
"374",4
"375",4
"376",1
"377",3
"378",1
"379",1
"380",1
"381",2
"382",1
"383",2
"384",2
"385",2
"386",4
"387",4
"388",4
"389",3
"390",3
"391",4
"392",4
"393",4
"394",3
"395",3
"396",1
"397",2
"398",1
"399",3
"400",1
"401",2
"402",1
"403",4
"404",3
"405",4
"406",1
"407",1
"408",3
"409",1
"410",2
"411",1
"412",2
"413",1
"414",4
"415",1
"416",4
"417",3
"418",2
"419",3
"420",3
"421",2
"422",2
"423",4
"424",1
"425",1
"426",4
"427",4
"428",4
"429",2
"430",2
"431",4
"432",4
"433",4
"434",4
"435",4
"436",2
"437",4
"438",2
"439",2
"440",2
"441",2
"442",2
"443",2
"444",2
"445",4
"446",3
"447",3
"448",1
"449",1
"450",1
"451",4
"452",4
"453",2
"454",4
"455",4
"456",4
"457",4
"458",4
"459",4
"460",4
"461",4
"462",4
"463",4
"464",4
"465",2
"466",3
"467",4
"468",1
"469",2
"470",4
"471",3
"472",4
"473",4
"474",3
"475",4
"476",1
"477",4
"478",4
"479",2
"480",2
