population,age,white,minority,tot_households,average_household_size,married_households,nonfamily_households,median_household_income,owner,renter,median_gross_rent,tot_gross_rent_as_percent_of_income,less_than_30_of_income,more_than_30_of_income,median_gross_rent_as_percent_of_income,median_n_rooms,less_than_high_school,high_school,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,employed,unemployed
128.0,30.0,0.14765570328901328,0.8523442967109867,475.0,2.87,0.3663157894736842,0.36210526315789476,49402.0,0.2571638501102131,0.742836149889787,1316.0,336.0,0.0867009551800147,0.10286554004408523,33.2,3.6,0.20270270270270271,0.19787644787644787,0.14285714285714285,0.026061776061776062,0.032818532818532815,0.003861003861003861,0.5195482189400521,0.14422241529105126
92.0,39.4,0.6748768472906403,0.3251231527093596,541.0,2.25,0.29390018484288355,0.5360443622920518,50444.0,0.1724137931034483,0.8275862068965517,1142.0,455.0,0.1625615763546798,0.1748768472906404,31.1,4.2,0.1965909090909091,0.1806818181818182,0.2,0.07840909090909091,0.10795454545454546,0.0,0.5524542829643888,0.07795957651588066
219.0,32.9,0.3132842925140632,0.6867157074859368,733.0,3.12,0.43656207366984995,0.2592087312414734,55625.0,0.3480735551663748,0.6519264448336253,1548.0,511.0,0.06260945709281962,0.14054290718038528,38.2,4.4,0.18206157965194109,0.22088353413654618,0.19410977242302543,0.0321285140562249,0.008032128514056224,0.0,0.5895564289724874,0.05783267827063447
123.0,42.0,0.19892209701126898,0.801077902988731,685.0,2.85,0.24671532846715327,0.3883211678832117,22417.0,0.014344262295081968,0.985655737704918,1142.0,669.0,0.08504098360655737,0.24487704918032788,50.0,3.5,0.4230498945888967,0.24877020379479972,0.06535488404778636,0.023893183415319746,0.018271257905832748,0.0,0.48548199767711964,0.09872241579558652
86.0,32.7,0.08980582524271845,0.9101941747572816,447.0,2.77,0.1319910514541387,0.4697986577181208,17948.0,0.09627831715210355,0.9037216828478964,950.0,429.0,0.07524271844660194,0.22653721682847897,44.4,3.5,0.32697547683923706,0.22888283378746593,0.1893732970027248,0.021798365122615803,0.0,0.0,0.49208025343189016,0.04751847940865892
109.0,38.5,0.22502744237102085,0.7749725576289791,399.0,2.05,0.09523809523809523,0.41353383458646614,12168.0,0.11355311355311355,0.8864468864468864,486.0,363.0,0.1575091575091575,0.23687423687423687,36.9,3.8,0.3205521472392638,0.24079754601226994,0.0705521472392638,0.046012269938650305,0.0,0.0,0.4458161865569273,0.019204389574759947
89.0,32.7,0.081267217630854,0.918732782369146,545.0,2.62,0.3669724770642202,0.3229357798165138,31103.0,0.06872370266479663,0.9312762973352033,1063.0,505.0,0.13394109396914447,0.1570827489481066,37.8,3.9,0.2515592515592516,0.2286902286902287,0.09147609147609148,0.038461538461538464,0.017671517671517672,0.018711018711018712,0.5905923344947736,0.04006968641114982
104.0,46.1,0.624248496993988,0.375751503006012,764.0,2.61,0.4397905759162304,0.3599476439790576,67000.0,0.42635270541082165,0.5736472945891784,1801.0,394.0,0.09218436873747494,0.10120240480961924,30.7,4.8,0.153737658674189,0.2454160789844852,0.08815232722143865,0.10860366713681241,0.006346967559943582,0.0,0.6273904996915485,0.028994447871684145
108.0,27.7,0.11752682677567705,0.882473173224323,494.0,3.87,0.20040485829959515,0.2631578947368421,38036.0,0.3599791013584117,0.6400208986415883,1076.0,375.0,0.08411703239289446,0.11180773249738767,32.6,4.2,0.2406563354603464,0.292616226071103,0.06654512306289881,0.0,0.0,0.0,0.4573885848318999,0.044566067240031274
156.0,35.4,0.24487179487179486,0.7551282051282051,624.0,3.48,0.3766025641025641,0.23237179487179488,53269.0,0.3479061205706397,0.6520938794293604,1297.0,472.0,0.07225034514496088,0.13529682466635987,42.5,4.1,0.23457675753228122,0.22381635581061693,0.15208034433285508,0.024390243902439025,0.011477761836441894,0.0,0.6134259259259259,0.09143518518518519
98.0,28.5,0.051521099116781155,0.9484789008832188,670.0,3.0,0.2537313432835821,0.28059701492537314,31894.0,0.0,1.0,1176.0,670.0,0.09448035803083044,0.23023371456986574,45.1,3.3,0.39344262295081966,0.19672131147540983,0.09232096635030199,0.0,0.009490940465918895,0.0,0.5229658792650919,0.1889763779527559
60.0,25.9,0.7513631406761178,0.24863685932388221,214.0,4.29,0.5093457943925234,0.08411214953271028,60764.0,0.48527808069792805,0.514721919302072,1332.0,96.0,0.04689203925845147,0.05779716466739367,50.0,5.2,0.3630705394190871,0.17427385892116182,0.10580912863070539,0.056016597510373446,0.0,0.0,0.5056910569105691,0.17886178861788618
63.0,30.6,0.14504596527068436,0.8549540347293156,444.0,2.2,0.08783783783783784,0.4189189189189189,17250.0,0.009193054136874362,0.9908069458631257,472.0,435.0,0.21041879468845762,0.20531154239019409,29.8,4.1,0.39182282793867124,0.1141396933560477,0.04599659284497445,0.015332197614991482,0.039182282793867124,0.0,0.4576502732240437,0.045081967213114756
110.0,30.7,0.20253863134657837,0.7974613686534217,623.0,2.86,0.14606741573033707,0.4654895666131621,23401.0,0.06898485698261357,0.9310151430173864,1128.0,593.0,0.08076275939427931,0.25182277061132924,47.8,2.9,0.4547826086956522,0.21391304347826087,0.023478260869565216,0.0,0.0,0.0,0.5186488388458832,0.04644616467276566
92.0,19.4,0.12153038259564891,0.878469617404351,420.0,3.17,0.1880952380952381,0.21428571428571427,21341.0,0.0555138784696174,0.9444861215303826,1094.0,395.0,0.07201800450112528,0.21605401350337583,50.0,4.2,0.29116117850953205,0.21663778162911612,0.12998266897746968,0.01733102253032929,0.0,0.0,0.4640198511166253,0.03598014888337469
99.0,21.7,0.04077010192525481,0.9592298980747452,131.0,3.91,0.0,0.07633587786259542,32083.0,0.109375,0.890625,1458.0,115.0,0.046875,0.134765625,50.0,4.3,0.44036697247706424,0.22018348623853212,0.045871559633027525,0.06116207951070336,0.0,0.0,0.3804573804573805,0.13097713097713098
96.0,38.5,0.37582128777923784,0.6241787122207622,242.0,3.11,0.40082644628099173,0.4049586776859504,48750.0,0.848605577689243,0.15139442231075698,1696.0,55.0,0.0,0.035856573705179286,50.0,5.7,0.18773946360153257,0.21839080459770116,0.22030651340996169,0.022988505747126436,0.0,0.0,0.6305084745762712,0.025423728813559324
61.0,40.8,0.8762490392006149,0.12375096079938509,496.0,2.62,0.43548387096774194,0.3528225806451613,122500.0,0.7401998462720983,0.2598001537279016,1279.0,124.0,0.02536510376633359,0.06994619523443504,44.3,4.5,0.04923076923076923,0.3353846153846154,0.26974358974358975,0.14256410256410257,0.020512820512820513,0.03076923076923077,0.6816927322907084,0.051517939282428704
102.0,42.8,0.14497041420118342,0.8550295857988166,337.0,3.0,0.3798219584569733,0.27299703264094954,67951.0,0.6785361028684471,0.32146389713155293,1123.0,127.0,0.05440158259149357,0.06627101879327399,31.5,4.7,0.25487646293888166,0.22496749024707413,0.12613784135240572,0.03901170351105332,0.0,0.0,0.6013590033975085,0.061155152887882216
20.0,57.1,0.524,0.476,219.0,2.28,0.1598173515981735,0.3881278538812785,19155.0,0.0,1.0,1007.0,219.0,0.144,0.256,50.0,3.6,0.3252032520325203,0.3143631436314363,0.14905149051490515,0.0,0.0,0.0,0.46952595936794583,0.11512415349887133
55.0,42.8,0.05612244897959184,0.9438775510204082,209.0,3.7,0.3157894736842105,0.15789473684210525,60875.0,0.4108527131782946,0.5891472868217055,1256.0,139.0,0.08527131782945736,0.09431524547803617,31.2,4.1,0.3593155893536122,0.311787072243346,0.04182509505703422,0.04752851711026616,0.0,0.0,0.6719242902208202,0.017350157728706624
143.0,27.5,0.08023379383634431,0.9197662061636557,590.0,3.06,0.22203389830508474,0.3220338983050847,23077.0,0.08241150442477876,0.9175884955752213,1145.0,533.0,0.08019911504424779,0.21460176991150443,43.6,3.8,0.3236434108527132,0.2858527131782946,0.045542635658914726,0.02810077519379845,0.0,0.001937984496124031,0.41455938697318007,0.10191570881226053
55.0,29.4,0.16219512195121952,0.8378048780487805,281.0,2.88,0.15658362989323843,0.3914590747330961,26078.0,0.07292954264524104,0.927070457354759,804.0,261.0,0.18170580964153277,0.14091470951792337,27.4,4.0,0.3436807095343681,0.3370288248337029,0.07317073170731707,0.0,0.0,0.0,0.4930232558139535,0.07286821705426356
69.0,41.2,0.09363008442056792,0.906369915579432,528.0,2.47,0.4109848484848485,0.2727272727272727,38942.0,0.37298541826554105,0.6270145817344589,1295.0,381.0,0.08672294704528012,0.1642363775901765,48.7,4.1,0.24239007891770012,0.21758737316798196,0.1386696730552424,0.040586245772266064,0.0,0.0,0.5382381413359149,0.023233301064859633
106.0,30.8,0.06896551724137931,0.9310344827586207,465.0,2.99,0.1935483870967742,0.3053763440860215,31250.0,0.017241379310344827,0.9827586206896551,1192.0,458.0,0.08764367816091954,0.23635057471264367,47.3,3.8,0.42923433874709976,0.16589327146171692,0.11832946635730858,0.012761020881670533,0.0,0.0,0.54858934169279,0.06165099268547544
40.0,24.1,0.1938610662358643,0.8061389337641357,422.0,2.93,0.12796208530805686,0.16350710900473933,0.0,0.01615508885298869,0.9838449111470113,1306.0,402.0,0.0,0.31017770597738287,50.0,3.8,0.3688811188811189,0.06643356643356643,0.0,0.03146853146853147,0.0,0.0,0.48696682464454977,0.1338862559241706
90.0,36.8,0.17432646592709986,0.8256735340729001,410.0,2.8,0.36585365853658536,0.4024390243902439,20862.0,0.0,1.0,1324.0,410.0,0.06631762652705062,0.2661431064572426,50.0,3.5,0.42514285714285716,0.2571428571428571,0.18057142857142858,0.0,0.0,0.027428571428571427,0.33905579399141633,0.18991416309012876
43.0,35.0,0.191044776119403,0.808955223880597,270.0,2.46,0.16666666666666666,0.4962962962962963,24355.0,0.08721804511278196,0.912781954887218,1530.0,239.0,0.0962406015037594,0.18646616541353384,50.0,4.6,0.47096774193548385,0.3311827956989247,0.07956989247311828,0.015053763440860216,0.0,0.0,0.5063063063063064,0.06486486486486487
120.0,31.1,0.13256484149855907,0.8674351585014409,675.0,2.56,0.1274074074074074,0.4711111111111111,22250.0,0.0,1.0,905.0,675.0,0.14889918887601392,0.2421784472769409,35.8,3.7,0.27562862669245647,0.2079303675048356,0.07446808510638298,0.07059961315280464,0.007736943907156673,0.0,0.5494423791821561,0.03345724907063197
41.0,54.5,0.9127625201938611,0.08723747980613894,363.0,1.71,0.31129476584022037,0.6887052341597796,96108.0,0.7802907915993538,0.2197092084006462,1507.0,103.0,0.09854604200323101,0.06785137318255251,18.6,3.2,0.04371584699453552,0.20947176684881602,0.11657559198542805,0.2659380692167577,0.0546448087431694,0.0,0.4991922455573506,0.16155088852988692
122.0,73.7,0.6395806028833552,0.36041939711664484,214.0,1.8,0.3411214953271028,0.6495327102803738,22717.0,0.4430051813471503,0.5569948186528497,332.0,155.0,0.22538860103626943,0.17616580310880828,28.8,3.1,0.18507890961262555,0.29555236728837875,0.13486370157819225,0.12338593974175036,0.05738880918220947,0.03012912482065997,0.24722222222222223,0.001388888888888889
32.0,33.0,0.15291529152915292,0.847084708470847,305.0,2.98,0.5606557377049181,0.10819672131147541,43542.0,0.22882288228822883,0.7711771177117712,1197.0,254.0,0.0847084708470847,0.19471947194719472,48.5,3.6,0.2745664739884393,0.2745664739884393,0.06358381502890173,0.0,0.0,0.0,0.645398773006135,0.04294478527607362
82.0,38.3,0.05763952424519671,0.9423604757548033,286.0,3.79,0.5209790209790209,0.14335664335664336,83214.0,0.724169741697417,0.275830258302583,1403.0,108.0,0.061808118081180814,0.03782287822878229,27.7,5.0,0.10043041606886657,0.14347202295552366,0.25107604017216645,0.1291248206599713,0.0,0.0,0.6475675675675676,0.08324324324324324
100.0,29.7,0.1117908787541713,0.8882091212458287,539.0,3.34,0.16697588126159554,0.23747680890538034,20972.0,0.30700778642936594,0.692992213570634,491.0,419.0,0.0728587319243604,0.15406006674082315,45.8,4.0,0.3584905660377358,0.11509433962264151,0.16792452830188678,0.05566037735849057,0.0,0.0,0.5251436781609196,0.08692528735632184
97.0,40.6,0.8862179487179487,0.11378205128205128,314.0,1.99,0.43312101910828027,0.4426751592356688,66667.0,0.2900641025641026,0.7099358974358975,1596.0,218.0,0.1907051282051282,0.15865384615384615,28.6,4.5,0.07505070993914807,0.18052738336713997,0.23732251521298176,0.10344827586206896,0.060851926977687626,0.02434077079107505,0.5818181818181818,0.023636363636363636
52.0,31.9,0.1291866028708134,0.8708133971291866,371.0,2.82,0.2695417789757412,0.3477088948787062,16250.0,0.0,1.0,424.0,371.0,0.17511961722488037,0.16937799043062202,29.7,3.8,0.47796610169491527,0.020338983050847456,0.14067796610169492,0.0,0.01864406779661017,0.0,0.5422535211267606,0.016901408450704224
80.0,41.5,0.09926470588235294,0.9007352941176471,392.0,2.45,0.14795918367346939,0.34183673469387754,17159.0,0.021897810218978103,0.9781021897810219,493.0,382.0,0.24504692387904067,0.15328467153284672,27.3,4.2,0.5334346504559271,0.182370820668693,0.02735562310030395,0.0,0.0,0.0,0.4200477326968974,0.08591885441527446
37.0,33.7,0.052466718872357085,0.9475332811276429,279.0,4.58,0.6559139784946236,0.0,86597.0,0.22944400939702428,0.7705559906029757,1709.0,202.0,0.11902897415818324,0.03915426781519186,25.2,5.2,0.17300131061598953,0.15465268676277852,0.10747051114023591,0.12975098296199214,0.0,0.0,0.6165853658536585,0.09463414634146342
119.0,26.4,0.06531645569620254,0.9346835443037975,579.0,3.25,0.3281519861830743,0.15889464594127806,43125.0,0.14361702127659576,0.8563829787234043,1065.0,522.0,0.11436170212765957,0.1601063829787234,34.3,4.2,0.2495069033530572,0.2416173570019724,0.1341222879684418,0.03057199211045365,0.027613412228796843,0.0039447731755424065,0.5402558314522197,0.15199398043641835
52.0,31.8,0.3895612708018154,0.6104387291981845,581.0,2.28,0.2943201376936317,0.49225473321858865,28137.0,0.05597579425113464,0.9440242057488654,1020.0,524.0,0.06959152798789713,0.30030257186081694,33.9,4.0,0.2576271186440678,0.1615819209039548,0.25649717514124293,0.10621468926553672,0.021468926553672316,0.04180790960451977,0.5535900104058272,0.0
112.0,44.1,0.7176560121765602,0.2823439878234399,462.0,2.58,0.42424242424242425,0.43506493506493504,0.0,0.4802686817800168,0.5197313182199832,1556.0,268.0,0.06213266162888329,0.12342569269521411,39.2,5.1,0.1290983606557377,0.10450819672131148,0.2827868852459016,0.17315573770491804,0.027663934426229508,0.03790983606557377,0.4216061185468451,0.12906309751434034
104.0,34.7,0.3568281938325991,0.6431718061674009,518.0,3.0,0.4749034749034749,0.27606177606177607,77361.0,0.5913770913770914,0.4086229086229086,1455.0,254.0,0.09202059202059203,0.07142857142857142,24.2,4.3,0.09740840035746202,0.2680965147453083,0.2957998212689902,0.10008936550491511,0.01519213583556747,0.05719392314566577,0.5521235521235521,0.06332046332046332
105.0,49.3,0.9246401354784082,0.07535986452159187,457.0,2.58,0.5689277899343544,0.3435448577680525,76181.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.05218446601941747,0.1953883495145631,0.15776699029126215,0.16990291262135923,0.00849514563106796,0.08009708737864078,0.5650364203954215,0.03329864724245578
105.0,63.8,0.12213740458015267,0.8778625954198473,291.0,2.25,0.584192439862543,0.2027491408934708,72548.0,0.6580152671755726,0.3419847328244275,0.0,112.0,0.17099236641221374,0.0,0.0,4.2,0.3310810810810811,0.14020270270270271,0.22635135135135134,0.16722972972972974,0.0,0.0,0.5101351351351351,0.0
49.0,35.5,0.0,1.0,407.0,3.65,0.31203931203931207,0.24078624078624078,68831.0,0.5491913746630728,0.4508086253369272,1328.0,215.0,0.03840970350404313,0.08018867924528301,50.0,5.0,0.12290502793296089,0.3754189944134078,0.1217877094972067,0.08156424581005586,0.01899441340782123,0.0,0.47042766151046406,0.24658780709736125
102.0,40.9,0.8109452736318408,0.1890547263681592,446.0,2.25,0.3609865470852018,0.4798206278026906,53750.0,0.6079601990049751,0.3920398009950249,1057.0,208.0,0.06368159203980099,0.1253731343283582,34.1,4.4,0.05675675675675676,0.36486486486486486,0.20405405405405405,0.08108108108108109,0.04054054054054054,0.03918918918918919,0.6122699386503068,0.013496932515337423
111.0,36.5,0.7807203389830508,0.21927966101694915,398.0,2.14,0.3065326633165829,0.4849246231155779,75776.0,0.305978898007034,0.694021101992966,1245.0,293.0,0.22626025791324736,0.11723329425556858,25.8,4.3,0.16981132075471697,0.14779874213836477,0.41037735849056606,0.06132075471698113,0.0,0.007861635220125786,0.7033898305084746,0.026836158192090395
231.0,20.5,0.11031578947368421,0.8896842105263157,636.0,3.25,0.22955974842767296,0.3238993710691824,25473.0,0.011143410852713179,0.9888565891472868,1017.0,625.0,0.08236434108527131,0.20445736434108527,42.9,3.5,0.2667928098391675,0.27341532639545885,0.10122989593188268,0.05203405865657521,0.0,0.0,0.48280907095830283,0.1119239209948793
250.0,37.5,0.08879120879120879,0.9112087912087912,713.0,3.13,0.3436185133239832,0.211781206171108,23080.0,0.12399283795881827,0.8760071620411818,1016.0,657.0,0.06803939122649955,0.2188898836168308,50.0,4.0,0.3616418966737438,0.24062278839348902,0.024769992922859165,0.029723991507430998,0.005661712668082095,0.0,0.4187248707639288,0.0993681792073521
103.0,36.2,0.04577822990844354,0.9542217700915565,325.0,2.91,0.24,0.25846153846153846,39148.0,0.10465116279069768,0.8953488372093024,1061.0,293.0,0.1511627906976744,0.14904862579281183,29.9,3.9,0.23952095808383234,0.17664670658682635,0.13023952095808383,0.008982035928143712,0.0,0.0,0.5487804878048781,0.06368563685636856
85.0,47.5,0.046885035324341684,0.9531149646756584,624.0,2.4,0.09294871794871795,0.4775641025641026,71875.0,0.4026666666666667,0.5973333333333334,1088.0,310.0,0.13,0.06333333333333334,18.3,3.9,0.08898305084745763,0.19661016949152543,0.24067796610169492,0.1423728813559322,0.023728813559322035,0.017796610169491526,0.5965439519158527,0.05785123966942149
