population,age,white,minority,tot_households,average_household_size,married_households,nonfamily_households,median_household_income,owner,renter,median_gross_rent,tot_gross_rent_as_percent_of_income,less_than_30_of_income,more_than_30_of_income,median_gross_rent_as_percent_of_income,median_n_rooms,less_than_high_school,high_school,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,employed,unemployed
83.0,56.4,0.9492031872509961,0.05079681274900399,490.0,2.05,0.3979591836734694,0.46530612244897956,47813.0,0.6643426294820717,0.33565737051792827,943.0,167.0,0.0796812749003984,0.05079681274900399,27.8,6.0,0.13489409141583056,0.39464882943143814,0.08918617614269789,0.06465997770345597,0.0,0.0,0.5748440748440748,0.04054054054054054
234.0,37.9,0.7279272451686245,0.2720727548313755,1347.0,1.87,0.3192279138827023,0.629547141796585,80720.0,0.3688394276629571,0.6311605723370429,1553.0,931.0,0.22813990461049286,0.13950715421303655,25.9,3.4,0.04909437559580553,0.10009532888465204,0.3565300285986654,0.15776930409914203,0.1782650142993327,0.09246901811248809,0.6319356204997882,0.03430749682337993
166.0,30.7,0.8044739022369511,0.19552609776304888,674.0,1.52,0.13649851632047477,0.8308605341246291,77500.0,0.0703125,0.9296875,1749.0,636.0,0.3154296875,0.2861328125,29.0,2.3,0.016146393972012917,0.04305705059203445,0.22927879440258342,0.2917115177610334,0.24542518837459634,0.04628632938643703,0.7236723672367237,0.04590459045904591
38.0,27.5,0.42517006802721086,0.5748299319727891,597.0,1.48,0.02680067001675042,0.9731993299832495,29571.0,0.034013605442176874,0.9659863945578231,1759.0,567.0,0.13378684807256236,0.3798185941043084,41.5,2.7,0.0,0.11216429699842022,0.30173775671406006,0.2559241706161137,0.18799368088467613,0.02843601895734597,0.5963718820861678,0.03854875283446712
130.0,36.6,0.8797496647295485,0.1202503352704515,1482.0,1.51,0.2975708502024291,0.6835357624831309,85385.0,0.38265534197586054,0.6173446580241395,1775.0,1014.0,0.24988824318283415,0.1743406347787215,27.7,2.8,0.00816743236345074,0.06636038795303727,0.3052577845839714,0.295048494129658,0.20316488004083716,0.06278713629402756,0.7237517498833411,0.007932804479701353
111.0,49.0,0.6002939015429831,0.3997060984570169,909.0,1.5,0.24642464246424642,0.7392739273927392,0.0,0.20793534166054373,0.7920646583394563,839.0,795.0,0.2520205731080088,0.3115356355620867,31.7,2.6,0.22775510204081634,0.07265306122448979,0.2726530612244898,0.12326530612244897,0.1836734693877551,0.018775510204081632,0.4036624203821656,0.005573248407643312
173.0,26.4,0.7896764252696457,0.2103235747303544,406.0,1.7,0.2561576354679803,0.7438423645320197,80476.0,0.24710982658959538,0.7528901734104047,1373.0,316.0,0.2861271676300578,0.17052023121387283,24.0,3.3,0.010403120936280884,0.10403120936280884,0.5435630689206762,0.1378413524057217,0.13263979193758127,0.027308192457737322,0.6169036334913112,0.00315955766192733
83.0,31.2,0.6814469078179697,0.3185530921820303,701.0,1.22,0.09700427960057062,0.9029957203994294,35709.0,0.06651108518086347,0.9334889148191365,1058.0,664.0,0.29638273045507585,0.33022170361726955,31.8,1.5,0.0,0.014367816091954023,0.45977011494252873,0.2471264367816092,0.15086206896551724,0.022988505747126436,0.6187050359712231,0.045563549160671464
92.0,29.7,0.7948717948717948,0.20512820512820512,708.0,1.54,0.1172316384180791,0.8488700564971752,55357.0,0.12362637362637363,0.8763736263736264,1232.0,646.0,0.2554945054945055,0.3241758241758242,31.7,2.5,0.0,0.06688963210702341,0.46488294314381273,0.11482720178372352,0.14046822742474915,0.06465997770345597,0.7684918347742555,0.005763688760806916
147.0,29.6,0.6589945487583283,0.3410054512416717,986.0,1.66,0.11359026369168357,0.8073022312373225,64375.0,0.2718922229026332,0.7281077770973668,1241.0,727.0,0.226576852418861,0.17513778322106552,26.6,3.0,0.01757066462948816,0.02291825821237586,0.37433155080213903,0.3307868601986249,0.119938884644767,0.058059587471352175,0.7033333333333334,0.012666666666666666
56.0,29.7,0.7307692307692307,0.2692307692307692,557.0,2.19,0.17594254937163376,0.8240574506283662,72846.0,0.2700490998363339,0.7299509001636661,608.0,396.0,0.22422258592471359,0.09983633387888707,26.2,3.6,0.06274509803921569,0.061764705882352944,0.4176470588235294,0.22745098039215686,0.09509803921568627,0.021568627450980392,0.6388384754990926,0.010889292196007259
106.0,25.2,0.7582184517497349,0.2417815482502651,279.0,2.01,0.2007168458781362,0.7419354838709677,78906.0,0.28214285714285714,0.7178571428571429,1353.0,174.0,0.22321428571428573,0.0875,27.8,3.5,0.04106776180698152,0.08213552361396304,0.37782340862423,0.14989733059548255,0.18275154004106775,0.028747433264887063,0.5913513513513513,0.05837837837837838
