population,age,white,minority,tot_households,average_household_size,married_households,nonfamily_households,median_household_income,owner,renter,median_gross_rent,tot_gross_rent_as_percent_of_income,less_than_30_of_income,more_than_30_of_income,median_gross_rent_as_percent_of_income,median_n_rooms,less_than_high_school,high_school,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,employed,unemployed
66.0,31.1,0.21336206896551724,0.7866379310344828,340.0,3.53,0.27941176470588236,0.34411764705882353,36111.0,0.17901748542880933,0.8209825145711906,0.0,235.0,0.11990008326394672,0.07577019150707744,27.8,5.2,0.32670454545454547,0.2571022727272727,0.13068181818181818,0.009943181818181818,0.0,0.0,0.5952941176470589,0.021176470588235293
49.0,42.3,0.6513157894736842,0.34868421052631576,567.0,1.61,0.23633156966490299,0.6507936507936508,64973.0,0.43530701754385964,0.5646929824561403,1232.0,308.0,0.16557017543859648,0.17214912280701755,40.7,4.2,0.12125,0.1825,0.245,0.12875,0.0,0.0,0.5875,0.03875
110.0,41.9,0.36554132712456344,0.6344586728754366,594.0,2.89,0.5707070707070707,0.24579124579124578,89500.0,0.6449359720605355,0.3550640279394645,1787.0,187.0,0.034924330616996506,0.057625145518044235,45.0,6.5,0.08713692946058091,0.1087136929460581,0.27551867219917014,0.06721991701244813,0.036514522821576766,0.008298755186721992,0.6691339748334567,0.005921539600296077
161.0,44.9,0.766984505363528,0.233015494636472,699.0,2.37,0.5879828326180258,0.28469241773962806,99275.0,0.9029535864978903,0.0970464135021097,1388.0,53.0,0.024110910186859555,0.004822182037371911,18.3,7.0,0.01977848101265823,0.13291139240506328,0.37420886075949367,0.09968354430379747,0.03481012658227848,0.0,0.6939687267311988,0.04244229337304542
101.0,51.9,0.8356997971602435,0.1643002028397566,477.0,2.07,0.6121593291404612,0.29559748427672955,136528.0,0.8356997971602435,0.1643002028397566,1494.0,77.0,0.05476673427991886,0.02332657200811359,23.8,7.5,0.0,0.03288672350791717,0.45554202192448234,0.1997563946406821,0.03654080389768575,0.010962241169305725,0.6690647482014388,0.0
125.0,37.8,0.7863013698630137,0.2136986301369863,533.0,2.74,0.6716697936210131,0.24577861163227016,128558.0,0.8363013698630137,0.1636986301369863,1738.0,82.0,0.04178082191780822,0.014383561643835616,25.5,6.8,0.01116751269035533,0.10355329949238579,0.35634517766497464,0.19086294416243654,0.046700507614213196,0.029441624365482234,0.7753108348134992,0.022202486678507993
104.0,45.6,0.7189014539579968,0.28109854604200324,577.0,2.09,0.30849220103986136,0.5181975736568457,83068.0,0.6804635761589404,0.3195364238410596,1576.0,163.0,0.08609271523178808,0.04304635761589404,19.6,5.1,0.06454918032786885,0.18442622950819673,0.26331967213114754,0.10553278688524591,0.03278688524590164,0.0,0.6721951219512196,0.01951219512195122
69.0,43.5,0.3607692307692308,0.6392307692307693,467.0,2.78,0.29764453961456105,0.29336188436830835,87266.0,0.7615384615384615,0.23846153846153847,1181.0,126.0,0.016923076923076923,0.03769230769230769,36.4,5.4,0.20019342359767892,0.3027079303675048,0.11895551257253385,0.097678916827853,0.0,0.0,0.7222699914015477,0.08082545141874463
50.0,41.0,0.14951164537941397,0.850488354620586,451.0,2.89,0.2682926829268293,0.25942350332594233,70223.0,0.6175115207373272,0.3824884792626728,1206.0,231.0,0.09754224270353302,0.07987711213517665,24.1,5.3,0.2063157894736842,0.23578947368421052,0.06947368421052631,0.04,0.0,0.0,0.5707364341085271,0.016472868217054265
65.0,37.6,0.19143239625167335,0.8085676037483266,453.0,3.27,0.3443708609271523,0.3686534216335541,90234.0,0.7363452461227242,0.26365475387727577,1651.0,137.0,0.05057316250842886,0.041807147673634526,23.8,6.8,0.10147783251231528,0.34285714285714286,0.23448275862068965,0.0,0.0,0.0,0.7720465890183028,0.04658901830282862
